CONCURSO,R1,R2,R3,R4,R5,FECHA,PRIMOS,REPETIDOS,MEDIA
10688,4,5,11,25,28,2024-07-24,2,0,14.6
10687,2,10,12,21,23,2024-07-24,2,0,13.6
10686,1,5,9,22,27,2024-07-23,1,2,12.8
10685,2,3,4,9,27,2024-07-23,2,0,9
10684,1,8,14,26,28,2024-07-22,0,1,15.4
10683,3,10,17,18,28,2024-07-22,2,1,15.2
10682,4,6,13,27,28,2024-07-21,1,1,15.6
10681,5,6,10,12,20,2024-07-21,1,2,10.6
10680,8,10,15,18,20,2024-07-20,0,1,14.2
10679,7,13,14,20,25,2024-07-20,2,0,15.8
10678,2,5,10,12,22,2024-07-19,2,1,10.2
10677,15,19,21,22,25,2024-07-19,1,0,20.4
10676,1,3,10,14,26,2024-07-18,1,2,10.8
10675,3,7,10,11,19,2024-07-18,4,0,10
10674,1,17,18,22,28,2024-07-17,1,0,17.2
10673,5,13,16,20,25,2024-07-17,2,0,15.8
10672,9,12,15,22,27,2024-07-16,0,0,17
10671,1,6,8,18,21,2024-07-16,0,1,10.8
10670,7,10,11,17,18,2024-07-15,3,0,12.6
10669,4,5,16,21,26,2024-07-15,1,2,14.4
10668,9,10,14,16,26,2024-07-14,0,2,15
10667,1,2,9,21,26,2024-07-14,1,0,11.8
10666,3,6,17,22,27,2024-07-13,2,1,15
10665,4,6,9,14,24,2024-07-13,0,1,11.4
10664,11,18,20,22,24,2024-07-12,1,1,19
10663,1,6,16,18,23,2024-07-12,1,1,12.8
10662,5,13,21,23,25,2024-07-11,3,1,17.4
10661,7,17,20,23,24,2024-07-11,3,1,18.2
10660,1,8,15,16,20,2024-07-10,0,0,12
10659,9,17,19,21,26,2024-07-10,2,1,18.4
10658,7,10,21,22,25,2024-07-09,1,1,17
10657,7,14,17,20,27,2024-07-09,2,2,17
10656,9,10,14,20,25,2024-07-08,0,2,15.6
10655,9,10,23,26,28,2024-07-08,1,1,19.2
10654,3,9,19,24,27,2024-07-07,2,2,16.4
10653,4,9,12,22,24,2024-07-07,0,0,14.2
10652,1,5,14,19,28,2024-07-06,2,0,13.4
10651,2,12,22,25,27,2024-07-06,1,1,17.6
10650,4,13,14,19,25,2024-07-05,2,0,15
10649,2,9,10,22,23,2024-07-05,2,1,13.2
10648,6,12,22,25,26,2024-07-04,0,3,18.2
10647,3,6,22,26,28,2024-07-04,1,1,17
10646,5,10,18,24,26,2024-07-03,1,1,16.6
10645,2,4,9,17,18,2024-07-03,2,1,10
10644,4,8,16,24,25,2024-07-02,0,1,15.4
10643,4,10,14,20,26,2024-07-02,0,0,14.8
10642,2,3,5,11,18,2024-07-01,4,1,7.8
10641,1,3,17,21,28,2024-07-01,2,1,14
10640,6,15,19,20,28,2024-06-30,1,1,17.6
10639,7,14,18,19,23,2024-06-30,3,1,16.2
10638,4,17,21,22,23,2024-06-29,2,1,17.4
10637,1,3,4,5,14,2024-06-29,2,0,5.4
10636,13,21,24,27,28,2024-06-28,1,0,22.6
10635,5,6,11,12,16,2024-06-28,2,1,10
10634,3,9,12,14,22,2024-06-27,1,0,12
10633,1,8,13,19,26,2024-06-27,2,1,13.4
10632,1,3,17,23,24,2024-06-26,3,0,13.6
10631,6,11,18,21,26,2024-06-26,1,1,16.4
10630,1,3,5,17,18,2024-06-25,3,1,8.8
10629,5,16,20,24,28,2024-06-25,1,1,18.6
10628,1,5,7,8,17,2024-06-24,3,1,7.6
10627,6,8,10,18,22,2024-06-24,0,1,12.8
10626,9,10,15,17,19,2024-06-23,2,1,14
10625,1,5,6,14,15,2024-06-23,1,2,8.2
10624,5,8,10,14,17,2024-06-22,2,1,10.8
10623,10,13,19,22,28,2024-06-22,2,0,18.4
10622,5,14,15,18,26,2024-06-21,1,1,15.6
10621,3,5,11,23,27,2024-06-21,4,2,13.8
10620,5,8,13,22,23,2024-06-20,3,0,14.2
10619,2,3,12,26,28,2024-06-20,2,0,14.2
10618,5,9,18,24,27,2024-06-19,1,1,16.6
10617,6,21,23,27,28,2024-06-19,1,0,21
10616,11,12,13,19,25,2024-06-18,3,0,16
10615,7,15,22,26,27,2024-06-18,1,0,19.4
10614,2,6,10,23,28,2024-06-17,2,1,13.8
10613,4,6,11,22,25,2024-06-17,1,1,13.6
10612,2,4,9,15,27,2024-06-16,1,1,11.4
10611,2,5,7,13,17,2024-06-16,5,1,8.8
10610,6,17,19,24,26,2024-06-15,2,1,18.4
10609,3,4,10,12,17,2024-06-15,2,1,9.2
10608,2,6,11,12,28,2024-06-14,2,2,11.8
10607,7,11,24,25,28,2024-06-14,2,2,19
10606,2,11,22,25,26,2024-06-13,2,2,17.2
10605,4,14,22,23,26,2024-06-13,1,3,17.8
10604,7,13,14,22,23,2024-06-12,3,1,15.8
10603,4,8,9,22,26,2024-06-12,0,1,13.8
10602,8,12,13,15,25,2024-06-11,1,1,14.6
10601,5,6,15,22,27,2024-06-11,1,1,15
10600,18,22,23,25,28,2024-06-10,1,2,23.2
10599,3,5,18,22,27,2024-06-10,2,0,15
10598,2,11,15,21,25,2024-06-09,2,0,14.8
10597,4,7,13,14,26,2024-06-09,2,1,12.8
10596,4,9,15,22,28,2024-06-08,0,2,15.6
10595,1,9,14,18,28,2024-06-08,0,1,14
10594,2,7,9,19,22,2024-06-07,3,1,11.8
10593,2,15,17,18,27,2024-06-07,2,2,15.8
10592,7,12,16,17,18,2024-06-06,2,1,14
10591,10,18,24,27,28,2024-06-06,0,2,21.4
10590,10,13,16,18,23,2024-06-05,2,1,16
10589,9,22,23,26,28,2024-06-05,1,2,21.6
10588,2,4,18,23,28,2024-06-04,2,0,15
10587,9,12,16,25,26,2024-06-04,0,3,17.6
10586,6,12,24,25,26,2024-06-03,0,2,18.6
10585,6,12,18,22,23,2024-06-03,1,3,16.2
10584,12,18,19,22,28,2024-06-02,1,0,19.8
10583,2,4,11,14,17,2024-06-02,3,0,9.6
10582,12,22,25,26,27,2024-06-01,0,2,22.4
10581,5,15,22,23,25,2024-06-01,2,2,18
10580,6,13,22,25,27,2024-05-31,1,2,18.6
10579,6,12,13,16,17,2024-05-31,2,1,12.8
10578,1,10,17,21,28,2024-05-30,1,1,15.4
10577,4,10,13,24,27,2024-05-30,1,0,15.6
10576,3,7,12,16,18,2024-05-29,2,0,11.2
10575,8,10,11,21,25,2024-05-29,1,1,15
10574,9,10,13,22,23,2024-05-28,2,2,15.4
10573,4,5,9,20,22,2024-05-28,1,2,12
10572,3,5,13,20,23,2024-05-27,4,2,12.8
10571,1,3,5,19,26,2024-05-27,3,2,10.8
10570,1,5,10,13,20,2024-05-26,2,1,9.8
10569,2,5,18,23,27,2024-05-26,3,1,15
10568,1,2,6,10,25,2024-05-25,1,0,8.8
10567,3,8,12,17,22,2024-05-25,2,1,12.4
10566,6,8,10,13,28,2024-05-24,1,1,13
10565,1,8,19,22,27,2024-05-24,1,0,15.4
10564,4,10,11,15,21,2024-05-23,1,0,12.2
10563,1,2,8,9,17,2024-05-23,2,1,7.4
10562,3,5,9,14,18,2024-05-22,2,0,9.8
10561,1,7,13,15,23,2024-05-22,3,1,11.8
10560,3,5,13,19,25,2024-05-21,4,2,13
10559,3,5,16,18,28,2024-05-21,2,2,14
10558,3,13,16,21,24,2024-05-20,2,2,15.4
10557,2,3,6,11,16,2024-05-20,3,1,7.6
10556,4,6,9,12,25,2024-05-19,0,1,11.2
10555,7,12,15,22,23,2024-05-19,2,1,15.8
10554,1,3,5,22,25,2024-05-18,2,2,11.2
10553,8,16,22,23,25,2024-05-18,1,1,18.8
10552,8,9,11,20,28,2024-05-17,1,1,15.2
10551,9,19,21,23,27,2024-05-17,2,0,19.8
10550,2,11,12,15,26,2024-05-16,2,1,13.2
10549,6,9,13,15,21,2024-05-16,1,1,12.8
10548,1,4,12,15,24,2024-05-15,0,2,11.2
10547,1,5,20,24,27,2024-05-15,1,0,15.4
10546,3,9,13,14,25,2024-05-14,2,0,12.8
10545,6,12,16,17,19,2024-05-14,2,0,14
10544,1,14,18,24,28,2024-05-13,0,3,17
10543,1,14,15,16,24,2024-05-13,0,1,14
10542,11,12,14,19,21,2024-05-12,2,1,15.4
10541,6,14,16,22,27,2024-05-12,0,1,17
10540,7,8,12,16,23,2024-05-11,2,0,13.2
10539,2,18,21,24,26,2024-05-11,1,0,18.2
10538,7,15,17,20,25,2024-05-10,2,1,16.8
10537,1,8,13,17,27,2024-05-10,2,0,13.2
10536,7,12,21,26,28,2024-05-09,1,1,18.8
10535,8,11,17,23,26,2024-05-09,3,2,17
10534,4,5,8,11,19,2024-05-08,3,1,9.4
10533,1,5,13,15,22,2024-05-08,2,1,11.2
10532,4,6,15,18,19,2024-05-07,1,1,12.4
10531,4,8,12,20,25,2024-05-07,0,0,13.8
10530,2,11,15,19,21,2024-05-06,3,1,13.6
10529,7,8,10,19,27,2024-05-06,2,2,14.2
10528,1,11,19,26,27,2024-05-05,2,1,16.8
10527,1,4,5,8,25,2024-05-05,1,1,8.6
10526,4,16,17,23,24,2024-05-04,2,1,16.8
10525,7,13,14,15,23,2024-05-04,3,0,14.4
10524,1,2,3,4,26,2024-05-03,2,1,7.2
10523,3,8,11,13,22,2024-05-03,3,2,11.4
10522,10,11,17,22,26,2024-05-02,2,0,17.2
10521,7,12,13,14,27,2024-05-02,2,0,14.6
10520,3,6,17,18,21,2024-05-01,2,0,13
10519,2,5,7,15,27,2024-05-01,3,0,11.2
10518,11,14,21,23,25,2024-04-30,2,2,18.8
10517,1,9,11,13,23,2024-04-30,3,2,11.4
10516,1,8,9,12,15,2024-04-29,0,1,9
10515,1,2,14,21,22,2024-04-29,1,2,12
10514,9,15,21,22,25,2024-04-28,0,1,18.4
10513,5,17,22,24,26,2024-04-28,2,1,18.8
10512,8,10,23,24,28,2024-04-27,1,2,18.6
10511,4,10,14,22,23,2024-04-27,1,1,14.6
10510,2,5,14,21,25,2024-04-26,2,1,13.4
10509,5,7,10,15,24,2024-04-26,2,0,12.2
10508,4,12,19,21,26,2024-04-25,1,2,16.4
10507,3,4,12,14,28,2024-04-25,1,1,12.2
10506,3,16,20,21,23,2024-04-24,2,0,16.6
10505,7,12,22,25,26,2024-04-24,1,0,18.4
10504,3,5,17,18,21,2024-04-23,3,2,12.8
10503,1,17,21,22,27,2024-04-23,1,1,17.6
10502,1,12,16,19,23,2024-04-22,2,2,14.2
10501,1,19,20,21,26,2024-04-22,1,2,17.4
10500,1,8,19,24,27,2024-04-21,1,1,15.8
10499,9,11,12,19,22,2024-04-21,2,1,14.6
10498,5,11,16,17,18,2024-04-20,3,1,13.4
10497,6,10,17,22,27,2024-04-20,1,1,16.4
10496,2,5,18,22,25,2024-04-19,2,0,14.4
10495,7,13,19,20,28,2024-04-19,3,0,17.4
10494,1,2,9,12,17,2024-04-18,2,0,8.2
10493,5,7,10,11,19,2024-04-18,4,0,10.4
10492,4,12,15,17,18,2024-04-17,1,2,13.2
10491,4,7,11,18,24,2024-04-17,2,1,12.8
10490,12,17,18,23,26,2024-04-16,2,1,19.2
10489,2,13,18,27,28,2024-04-16,2,1,17.6
10488,5,10,11,21,27,2024-04-15,2,1,14.8
10487,4,5,7,15,20,2024-04-15,2,2,10.2
10486,3,4,18,20,22,2024-04-14,1,1,13.4
10485,8,10,18,23,27,2024-04-14,1,1,17.2
10484,1,12,18,24,25,2024-04-13,0,1,16
10483,2,3,4,6,12,2024-04-13,2,0,5.4
10482,19,24,25,27,28,2024-04-12,1,0,24.6
10481,2,10,15,16,22,2024-04-12,1,1,13
10480,5,7,11,14,16,2024-04-11,3,1,10.6
10479,3,14,15,22,28,2024-04-11,1,1,16.4
10478,9,15,20,23,25,2024-04-10,1,1,18.4
10477,2,14,21,22,25,2024-04-10,1,1,16.8
10476,3,6,10,25,27,2024-04-09,1,1,14.2
10475,1,6,11,13,26,2024-04-09,2,1,11.4
10474,1,8,14,24,28,2024-04-08,0,2,15
10473,8,9,14,17,18,2024-04-08,1,1,13.2
10472,4,12,14,25,28,2024-04-07,0,1,16.6
10471,7,8,12,18,27,2024-04-07,1,0,14.4
10470,5,6,17,20,21,2024-04-06,2,0,13.8
10469,2,8,12,18,26,2024-04-06,1,0,13.2
10468,10,13,22,23,25,2024-04-05,2,1,18.6
10467,1,2,8,12,22,2024-04-05,1,1,9
10466,2,15,19,23,27,2024-04-04,3,3,17.2
10465,12,15,19,22,27,2024-04-04,1,1,19
10464,10,12,13,17,18,2024-04-03,2,2,14
10463,10,12,15,19,24,2024-04-03,1,0,16
10462,1,3,4,25,27,2024-04-02,1,2,12
10461,4,6,10,27,28,2024-04-02,0,1,15
10460,22,24,25,26,27,2024-04-01,0,1,24.8
10459,4,10,13,14,27,2024-04-01,1,2,13.6
10458,6,8,10,17,27,2024-03-31,1,1,13.6
10457,5,6,11,15,20,2024-03-31,2,1,11.4
10456,6,14,21,23,28,2024-03-30,1,3,18.4
10455,6,10,12,23,28,2024-03-30,1,1,15.8
10454,1,5,12,15,18,2024-03-29,1,2,10.2
10453,5,10,18,19,26,2024-03-29,2,1,15.6
10452,6,9,16,19,23,2024-03-28,2,1,14.6
10451,2,4,12,19,28,2024-03-28,2,0,13
10450,5,9,15,20,27,2024-03-27,1,1,15.2
10449,8,10,18,26,27,2024-03-27,0,1,17.8
10448,1,8,15,16,25,2024-03-26,0,1,13
10447,7,15,21,23,27,2024-03-26,2,1,18.6
10446,10,12,14,23,26,2024-03-25,1,1,17
10445,1,13,23,24,25,2024-03-25,2,0,17.2
10444,2,8,9,11,27,2024-03-24,2,1,11.4
10443,2,5,6,14,17,2024-03-24,3,1,8.8
10442,13,14,15,21,22,2024-03-23,1,2,17
10441,3,8,15,21,25,2024-03-23,1,1,14.4
10440,5,11,17,21,23,2024-03-22,4,1,15.4
10439,4,8,14,18,21,2024-03-22,0,1,13
10438,1,3,7,14,16,2024-03-21,2,0,8.2
10437,6,9,11,12,26,2024-03-21,1,2,12.8
10436,3,6,9,17,27,2024-03-20,2,1,12.4
10435,6,10,11,21,28,2024-03-20,1,1,15.2
10434,4,7,18,25,28,2024-03-19,1,0,16.4
10433,16,17,19,23,27,2024-03-19,3,0,20.4
10432,4,5,6,15,26,2024-03-18,1,2,11.2
10431,1,5,14,15,18,2024-03-18,1,2,10.6
10430,5,15,20,24,26,2024-03-17,1,1,18
10429,8,12,18,24,28,2024-03-17,0,1,18
10428,1,3,8,9,10,2024-03-16,1,0,6.2
10427,12,16,17,23,28,2024-03-16,2,1,19.2
10426,2,5,13,16,26,2024-03-15,3,0,12.4
10425,6,18,23,25,28,2024-03-15,1,1,20
10424,4,7,9,12,25,2024-03-14,1,1,11.4
10423,2,3,6,17,25,2024-03-14,3,2,10.6
10422,2,4,7,17,26,2024-03-13,3,0,11.2
10421,3,5,9,13,27,2024-03-13,3,1,11.4
10420,6,15,20,25,27,2024-03-12,0,0,18.6
10419,3,13,23,24,28,2024-03-12,3,1,18.2
10418,2,7,9,13,16,2024-03-11,3,1,9.4
10417,7,10,21,24,27,2024-03-11,1,0,17.8
10416,3,11,14,18,23,2024-03-10,3,2,13.8
10415,3,8,11,15,21,2024-03-10,2,0,11.6
10414,1,4,9,25,28,2024-03-09,0,0,13.4
10413,2,10,14,18,21,2024-03-09,1,1,13
10412,9,10,24,26,28,2024-03-08,0,3,19.4
10411,8,10,20,24,28,2024-03-08,0,1,18
10410,2,7,8,17,25,2024-03-07,3,2,11.8
10409,15,17,25,26,27,2024-03-07,1,1,22
10408,6,9,12,19,25,2024-03-06,1,1,14.2
10407,11,13,17,19,28,2024-03-06,4,1,17.6
10406,12,13,15,23,26,2024-03-05,2,1,17.8
10405,4,5,6,15,25,2024-03-05,1,1,11
10404,3,4,9,10,24,2024-03-04,1,1,10
10403,7,8,11,21,24,2024-03-04,2,0,14.2
10402,2,5,12,15,25,2024-03-03,2,2,11.8
10401,2,9,10,12,20,2024-03-03,1,2,10.6
10400,1,6,9,10,13,2024-03-02,1,1,7.8
10399,8,10,14,16,17,2024-03-02,1,1,13
10398,1,7,10,23,28,2024-03-01,2,0,13.8
10397,9,13,16,17,25,2024-03-01,2,1,16
10396,2,8,13,15,20,2024-02-29,2,1,11.6
10395,5,6,15,16,19,2024-02-29,2,0,12.2
10394,1,3,8,23,25,2024-02-28,2,1,12
10393,16,23,24,26,27,2024-02-28,1,2,23.2
10392,2,6,11,24,27,2024-02-27,2,2,14
10391,2,10,15,19,27,2024-02-27,2,2,14.6
10390,4,9,10,17,19,2024-02-26,2,1,11.8
10389,14,19,21,24,25,2024-02-26,1,0,20.6
10388,3,10,16,18,28,2024-02-25,1,0,15
10387,2,11,12,20,22,2024-02-25,2,1,13.4
10386,1,11,15,21,25,2024-02-24,1,0,14.6
10385,2,3,13,14,26,2024-02-24,3,1,11.6
10384,1,2,9,24,25,2024-02-23,1,1,12.2
10383,1,8,12,15,19,2024-02-23,1,1,11
10382,1,3,13,22,28,2024-02-22,2,2,13.4
10381,1,10,13,14,21,2024-02-22,1,2,11.8
10380,1,3,14,17,26,2024-02-21,2,1,12.2
10379,1,4,8,23,27,2024-02-21,1,1,12.6
10378,9,10,11,19,27,2024-02-20,2,0,15.2
10377,4,13,15,16,25,2024-02-20,1,1,14.6
10376,1,2,23,25,26,2024-02-19,2,0,15.4
10375,4,5,7,12,20,2024-02-19,2,2,9.6
10374,11,12,18,20,23,2024-02-18,2,0,16.8
10373,6,8,10,16,19,2024-02-18,1,0,11.8
10372,1,7,13,15,26,2024-02-17,2,1,12.4
10371,11,13,14,19,25,2024-02-17,3,0,16.4
10370,10,12,20,23,28,2024-02-16,1,0,18.6
10369,8,14,15,24,26,2024-02-16,0,1,17.4
10368,5,10,13,14,19,2024-02-15,3,0,12.2
10367,3,18,23,24,26,2024-02-15,2,0,18.8
10366,2,10,15,21,27,2024-02-14,1,1,15
10365,8,10,17,20,22,2024-02-14,1,1,15.4
10364,12,18,19,20,28,2024-02-13,1,1,19.4
10363,3,6,13,19,21,2024-02-13,3,1,12.4
10362,5,18,21,25,27,2024-02-12,1,1,19.2
10361,1,2,5,19,22,2024-02-12,3,3,9.8
10360,1,5,9,14,19,2024-02-11,2,0,9.6
10359,3,18,20,22,23,2024-02-11,2,1,17.2
10358,5,10,15,16,18,2024-02-10,1,1,12.8
10357,6,9,11,15,19,2024-02-10,2,0,12
10356,4,7,12,13,20,2024-02-09,2,0,11.2
10355,8,15,18,24,28,2024-02-09,0,1,18.6
10354,4,7,11,17,24,2024-02-08,3,1,12.6
10353,6,7,10,18,28,2024-02-08,1,1,13.8
10352,2,6,17,22,24,2024-02-07,2,0,14.2
10351,7,8,9,11,16,2024-02-07,2,1,10.2
10350,2,3,15,16,26,2024-02-06,2,0,12.4
10349,4,10,12,13,22,2024-02-06,1,0,12.2
10348,2,9,18,25,27,2024-02-05,1,2,16.2
10347,2,5,21,24,27,2024-02-05,2,0,15.8
10346,4,11,15,16,22,2024-02-04,1,1,13.6
10345,12,15,19,20,25,2024-02-04,1,0,18.2
10344,2,5,10,11,23,2024-02-03,4,0,10.2
10343,1,16,21,22,28,2024-02-03,0,1,17.6
10342,8,13,17,18,21,2024-02-02,2,2,15.4
10341,2,4,12,17,18,2024-02-02,2,1,10.6
10340,2,11,13,14,28,2024-02-01,3,1,13.6
10339,2,16,24,26,27,2024-02-01,1,2,19
10338,12,14,16,21,26,2024-01-31,0,0,17.8
10337,2,13,17,18,25,2024-01-31,3,1,15
10336,17,19,20,26,27,2024-01-30,2,1,21.8
10335,4,9,14,18,19,2024-01-30,1,2,12.8
10334,2,5,14,19,27,2024-01-29,3,1,13.4
10333,3,8,14,22,28,2024-01-29,1,1,15
10332,3,15,19,21,27,2024-01-28,2,1,17
10331,4,10,15,20,25,2024-01-28,0,0,14.8
10330,8,12,13,21,23,2024-01-27,2,1,15.4
10329,6,7,12,14,16,2024-01-27,1,0,11
10328,3,11,18,22,28,2024-01-26,2,1,16.4
10327,2,8,12,14,22,2024-01-26,1,1,11.6
10326,4,7,14,23,25,2024-01-25,2,2,14.6
10325,2,14,16,17,25,2024-01-25,2,0,14.8
10324,9,19,20,22,24,2024-01-24,1,2,18.8
10323,4,20,24,26,28,2024-01-24,0,1,20.4
10322,2,18,21,24,27,2024-01-23,1,0,18.4
10321,3,5,6,25,26,2024-01-23,2,0,13
10320,2,4,10,19,20,2024-01-22,2,0,11
10319,7,12,15,27,28,2024-01-22,1,2,17.8
10318,1,7,11,14,27,2024-01-21,2,1,12
10317,7,12,15,17,26,2024-01-21,2,3,15.4
10316,4,7,12,15,25,2024-01-20,1,1,12.6
10315,15,19,26,27,28,2024-01-20,1,1,23
10314,3,4,5,23,27,2024-01-19,3,1,12.4
10313,17,18,21,22,27,2024-01-19,1,1,21
10312,1,11,14,21,26,2024-01-18,1,2,14.6
10311,5,14,20,21,23,2024-01-18,2,2,16.6
10310,11,12,20,21,22,2024-01-17,1,1,17.2
10309,5,8,10,12,27,2024-01-17,1,3,12.4
10308,5,7,8,12,17,2024-01-16,3,0,9.8
10307,6,21,22,24,27,2024-01-16,0,0,20
10306,3,8,14,15,17,2024-01-15,2,1,11.4
