CONCURSO,R1,R2,R3,R4,R5,R6,R7,FECHA
3634,5,12,21,30,36,52,43,2022-09-02
3633,21,25,27,32,33,41,42,2022-08-31
3632,9,12,18,34,40,54,25,2022-08-28
3631,8,14,15,36,45,49,6,2022-08-26
3630,4,16,24,25,28,54,33,2022-08-24
3629,1,8,19,26,32,56,17,2022-08-21
3628,23,25,28,33,35,53,4,2022-08-19
3627,27,31,33,39,48,54,24,2022-08-17
3626,17,24,27,33,35,55,19,2022-08-14
3625,4,15,27,28,32,34,5,2022-08-12
3624,3,38,40,46,49,52,45,2022-08-10
3623,4,12,13,20,45,54,43,2022-08-07
3622,10,14,18,26,27,55,39,2022-08-05
3621,1,8,9,16,22,44,38,2022-08-03
3620,13,20,39,43,54,56,42,2022-07-31
3619,1,3,11,28,41,49,53,2022-07-29
3618,5,17,19,46,48,50,55,2022-07-27
3617,2,3,26,49,50,52,29,2022-07-24
3616,13,15,30,37,40,45,31,2022-07-22
3615,15,20,23,44,51,52,6,2022-07-20
3614,1,13,17,24,34,53,39,2022-07-17
3613,5,8,13,15,24,47,48,2022-07-15
3612,4,21,28,39,49,52,2,2022-07-13
3611,19,29,36,42,44,52,45,2022-07-10
3610,18,27,30,41,43,51,49,2022-07-08
3609,1,3,12,30,31,38,16,2022-07-06
3608,13,18,32,33,34,54,28,2022-07-03
3607,9,27,35,43,50,52,41,2022-07-01
3606,7,14,38,40,43,56,34,2022-06-29
3605,6,9,13,21,29,45,7,2022-06-26
3604,6,20,24,35,52,53,34,2022-06-24
3603,8,11,25,35,36,51,37,2022-06-22
3602,8,15,24,29,30,49,9,2022-06-19
3601,5,17,22,27,37,52,42,2022-06-17
3600,15,32,41,45,48,52,20,2022-06-15
3599,11,29,45,47,53,54,23,2022-06-12
3598,7,9,27,43,47,52,4,2022-06-10
3597,18,21,29,41,55,56,48,2022-06-08
3596,2,13,15,20,30,50,36,2022-06-05
3595,10,17,29,33,40,46,32,2022-06-03
3594,21,23,34,39,43,49,56,2022-06-01
3593,1,18,22,35,36,56,17,2022-05-29
3592,1,2,8,11,42,54,47,2022-05-27
3591,13,18,32,33,40,46,26,2022-05-25
3590,5,11,22,31,32,53,45,2022-05-22
3589,25,35,43,45,48,50,52,2022-05-20
3588,3,6,7,22,32,51,35,2022-05-18
3587,8,15,23,26,35,52,16,2022-05-15
3586,4,7,21,52,55,56,12,2022-05-13
3585,2,3,32,46,49,55,35,2022-05-11
3584,20,35,38,42,46,55,56,2022-05-08
3583,12,13,14,15,25,30,43,2022-05-06
3582,22,23,36,37,45,50,15,2022-05-04
3581,1,6,18,29,31,47,42,2022-05-01
3580,6,7,9,21,33,37,1,2022-04-29
3579,13,27,29,33,41,45,49,2022-04-27
3578,21,23,29,31,40,56,52,2022-04-24
3577,1,11,13,20,41,49,18,2022-04-22
3576,10,12,18,21,44,55,46,2022-04-20
3575,29,32,34,42,45,51,11,2022-04-17
3574,23,25,33,41,44,51,4,2022-04-15
3573,1,2,11,31,35,54,41,2022-04-13
3572,19,21,36,38,42,51,28,2022-04-10
3571,21,28,33,39,51,52,31,2022-04-08
3570,4,20,21,22,45,47,24,2022-04-06
3569,1,15,22,36,39,49,31,2022-04-03
3568,1,10,28,33,38,54,35,2022-04-01
3567,6,26,34,40,42,52,53,2022-03-30
3566,16,19,21,27,29,37,22,2022-03-27
3565,10,13,26,31,36,53,48,2022-03-25
3564,6,9,16,17,27,29,15,2022-03-23
3563,18,40,44,49,51,54,15,2022-03-20
3562,2,17,20,26,46,50,51,2022-03-18
3561,3,10,13,22,29,30,46,2022-03-16
3560,2,23,24,28,50,53,12,2022-03-13
3559,9,17,29,37,49,50,2,2022-03-11
3558,6,13,16,27,29,55,15,2022-03-09
3557,5,6,12,21,53,55,15,2022-03-06
3556,15,17,26,31,37,42,29,2022-03-04
3555,8,12,13,28,34,48,43,2022-03-02
3554,13,18,22,33,43,53,25,2022-02-27
3553,5,10,14,24,49,54,32,2022-02-25
3552,20,46,50,53,54,55,6,2022-02-23
