CONCURSO,ID,F1,F2,F3,F4,F5,F6,F7,FECHA
1358,1694959,5,7,11,21,25,37,17,2023-09-23
1357,1157489,3,9,14,15,21,30,34,2023-09-19
1356,195592,1,5,9,22,35,36,21,2023-09-16
1355,2936429,12,17,21,22,24,34,5,2023-09-12
1354,1479302,4,9,12,30,32,39,33,2023-09-09
1353,901241,2,16,22,23,35,36,17,2023-09-05
1352,1264067,3,15,17,21,23,30,36,2023-09-02
1351,2001785,6,9,15,29,33,36,26,2023-08-29
1350,2281786,7,13,16,34,38,39,3,2023-08-26
1349,2877530,11,22,23,26,28,35,7,2023-08-22
1348,940531,3,4,5,11,33,38,30,2023-08-19
1347,1935052,6,7,12,20,24,36,14,2023-08-15
1346,1739905,5,8,17,23,31,39,11,2023-08-12
1345,2525444,8,27,31,32,37,39,14,2023-08-08
1344,524774,2,3,7,30,31,38,23,2023-08-05
1343,1295169,3,19,20,27,28,32,15,2023-08-01
1342,1438195,4,8,9,10,15,17,2,2023-07-29
1341,2993581,13,16,19,26,31,35,25,2023-07-25
1340,642959,2,5,13,17,23,25,15,2023-07-22
1339,1016307,3,5,12,13,24,26,36,2023-07-18
1338,3052723,14,17,18,24,32,34,27,2023-07-15
1337,516385,2,3,6,11,16,26,25,2023-07-11
1336,1348294,4,5,14,27,30,32,12,2023-07-08
1335,1609568,4,17,21,24,29,38,15,2023-07-04
1334,873035,2,14,15,20,26,38,12,2023-07-01
1333,289061,1,7,15,21,28,31,6,2023-06-27
1332,573720,2,4,7,11,17,19,16,2023-06-24
1331,2049857,6,11,18,21,24,27,10,2023-06-20
1330,803398,2,10,13,22,28,38,17,2023-06-17
1329,2387335,8,10,12,13,25,28,18,2023-06-13
1328,752763,2,8,13,28,29,34,21,2023-06-10
1327,1635352,4,24,25,30,32,37,12,2023-06-06
1326,2396429,8,10,15,24,27,28,17,2023-06-03
1325,218089,1,5,19,22,27,33,30,2023-05-30
1324,324184,1,8,17,24,27,28,4,2023-05-27
1323,285512,1,7,13,30,33,34,9,2023-05-23
1322,2148670,6,22,30,31,33,39,3,2023-05-20
1321,1004255,3,5,8,21,30,36,25,2023-05-16
1320,1297048,3,19,23,24,36,38,32,2023-05-13
1319,2329105,7,17,26,27,28,37,12,2023-05-09
1318,2063416,6,12,15,27,28,31,33,2023-05-06
1317,2271715,7,12,20,30,32,34,38,2023-05-02
1316,318213,1,8,14,19,31,39,9,2023-04-29
1315,1448684,4,8,11,25,31,38,36,2023-04-25
1314,2174180,7,8,15,17,20,36,12,2023-04-22
1313,287595,1,7,14,26,31,32,19,2023-04-18
1312,2937248,12,17,22,23,25,39,19,2023-04-15
1311,2778681,10,21,28,33,36,38,30,2023-04-11
1310,2663325,9,23,25,29,31,33,12,2023-04-08
1309,2959703,12,22,26,35,36,39,23,2023-04-04
1308,3103428,15,18,20,25,34,39,31,2023-04-01
1307,2955930,12,21,23,26,35,36,10,2023-03-28
1306,1064523,3,6,14,26,30,39,36,2023-03-25
1305,962830,3,4,10,11,13,22,31,2023-03-21
1304,748375,2,8,12,16,17,38,37,2023-03-18
1303,257099,1,6,17,28,32,33,15,2023-03-14
1302,344090,1,9,13,25,31,35,19,2023-03-11
1301,2103385,6,15,16,26,32,35,22,2023-03-07
1300,2499466,8,17,27,32,34,37,7,2023-03-04
1299,2308750,7,15,19,26,29,38,28,2023-02-28
1298,2070619,6,12,21,23,26,31,37,2023-02-25
1297,1950011,6,7,21,23,29,36,16,2023-02-21
1296,3229655,20,23,24,30,33,35,34,2023-02-18
1295,1139700,3,8,19,25,34,38,35,2023-02-14
1294,2923002,12,15,25,30,32,38,24,2023-02-11
1293,2695496,10,12,15,22,27,34,36,2023-02-07
1292,733645,2,7,22,25,27,31,5,2023-02-04
1291,2608498,9,14,18,19,25,35,4,2023-01-31
1290,528436,2,3,8,21,23,29,19,2023-01-28
1289,835995,2,11,21,24,29,35,28,2023-01-24
1288,1229495,3,12,20,22,29,34,38,2023-01-21
1287,2345499,7,21,23,24,26,28,20,2023-01-17
1286,2454402,8,13,18,28,34,39,5,2023-01-14
1285,3069831,14,19,30,31,35,39,5,2023-01-10
1284,2458452,8,13,23,26,36,38,34,2023-01-07
1283,126277,1,4,5,8,21,30,39,2023-01-03
1282,1133293,3,8,15,20,31,35,28,2022-12-31
1281,99984,1,3,10,19,27,30,17,2022-12-27
1280,952545,3,4,7,17,21,38,16,2022-12-24
1279,1455347,4,8,14,17,33,39,7,2022-12-20
1278,1026502,3,5,16,19,26,39,34,2022-12-17
1277,2015441,6,10,11,25,33,34,30,2022-12-13
1276,12521,1,2,4,19,32,36,31,2022-12-10
1275,2692603,10,12,14,17,26,37,8,2022-12-06
1274,2294045,7,14,16,25,30,38,23,2022-12-03
1273,143993,1,4,8,16,26,36,27,2022-11-29
1272,1072353,3,6,19,26,34,38,17,2022-11-26
1271,3166091,17,18,24,28,30,35,10,2022-11-22
1270,1432923,4,7,19,26,31,34,30,2022-11-19
1269,1215140,3,11,24,32,34,38,22,2022-11-15
1268,1467745,4,8,24,25,26,39,34,2022-11-12
1267,702404,2,7,8,14,15,21,4,2022-11-08
1266,881787,2,14,22,24,26,30,34,2022-11-05
1265,1264421,3,15,17,23,31,36,2,2022-11-01
1264,760490,2,8,17,29,36,39,15,2022-10-29
1263,1307553,3,22,25,30,36,37,13,2022-10-25
1262,272329,1,7,9,21,33,38,22,2022-10-22
1261,2184506,7,8,23,28,31,38,1,2022-10-18
1260,2059084,6,12,13,26,36,37,19,2022-10-15
1259,891887,2,15,21,25,32,36,12,2022-10-11
1258,1335946,4,5,10,18,20,30,9,2022-10-08
1257,1282526,3,17,19,20,21,35,11,2022-10-04
1256,2337728,7,19,21,29,33,35,2,2022-10-01
1255,308126,1,8,10,29,31,33,18,2022-09-27
1254,2481996,8,15,23,33,37,38,27,2022-09-24
1253,1440890,4,8,9,19,24,27,15,2022-09-20
1252,1037010,3,6,7,8,31,37,30,2022-09-17
1251,2024732,6,10,15,21,23,33,13,2022-09-13
1250,543351,2,3,13,14,17,24,19,2022-09-10
1249,1981149,6,8,20,30,31,32,38,2022-09-06
1248,2418324,8,11,16,21,27,38,32,2022-09-03
1247,1252950,3,14,17,18,24,38,8,2022-08-30
1246,1381209,4,6,11,25,26,38,9,2022-08-27
1245,546620,2,3,14,17,30,38,26,2022-08-23
1244,2622192,9,15,20,27,28,38,34,2022-08-20
1243,946203,3,4,6,12,22,24,39,2022-08-16
1242,877708,2,14,18,20,29,37,28,2022-08-13
1241,1967584,6,8,12,34,38,39,29,2022-08-09
1240,2757594,10,17,21,23,28,39,9,2022-08-06
1239,1714166,5,7,23,26,27,34,32,2022-08-02
1238,2367955,8,9,13,21,24,29,7,2022-07-30
1237,1700251,5,7,13,19,37,38,32,2022-07-26
1236,392998,1,11,15,32,36,39,27,2022-07-23
1235,1419897,4,7,12,23,26,37,38,2022-07-19
1234,276239,1,7,10,23,33,38,15,2022-07-16
1233,1849758,5,13,23,26,27,30,22,2022-07-12
1232,1666783,5,6,14,21,23,25,33,2022-07-09
1231,2407165,8,10,28,30,35,37,22,2022-07-05
1230,3007561,13,18,20,23,29,37,22,2022-07-02
1229,165700,1,4,15,20,33,39,13,2022-06-28
1228,1764791,5,9,16,17,32,33,15,2022-06-25
1227,1923321,6,7,9,12,31,39,38,2022-06-21
1226,3253318,23,26,34,35,37,39,13,2022-06-18
1225,1203568,3,11,14,26,29,37,30,2022-06-14
1224,1047624,3,6,9,14,21,26,4,2022-06-11
1223,2660479,9,22,23,26,27,30,20,2022-06-07
1222,1460960,4,8,17,19,22,38,35,2022-06-04
1221,3140108,16,18,25,28,29,31,26,2022-05-31
1220,2228979,7,10,17,18,29,32,21,2022-05-28
1219,1549984,4,12,17,18,25,26,27,2022-05-24
1218,1188366,3,10,17,25,31,36,37,2022-05-21
1217,823510,2,11,13,20,23,29,26,2022-05-17
1216,3206359,18,26,27,28,29,31,17,2022-05-14
1215,3162703,17,18,19,30,31,38,10,2022-05-10
1214,1955071,6,8,9,13,27,37,19,2022-05-07
1213,2658078,9,21,23,25,33,36,39,2022-05-03
1212,1763580,5,9,15,20,30,37,18,2022-04-30
1211,2411529,8,11,13,17,30,32,16,2022-04-26
1210,1582640,4,14,21,23,27,32,26,2022-04-23
1209,1982467,6,8,22,26,34,38,24,2022-04-19
1208,1398549,4,6,21,24,28,31,20,2022-04-16
1207,1674562,5,6,19,20,35,38,7,2022-04-12
1206,2466965,8,14,18,27,30,33,37,2022-04-09
1205,2682527,10,11,18,22,23,28,14,2022-04-05
1204,648479,2,5,15,24,32,37,19,2022-04-02
1203,2055822,6,11,26,27,33,36,2,2022-03-29
1202,188208,1,5,8,10,12,31,3,2022-03-26
1201,1472548,4,9,10,23,25,32,12,2022-03-22
1200,139183,1,4,7,15,22,32,13,2022-03-19
1199,2034752,6,10,24,28,33,36,32,2022-03-15
1198,2737490,10,15,17,26,35,37,27,2022-03-12
1197,405274,1,12,13,20,33,35,28,2022-03-08
1196,521008,2,3,7,10,18,24,26,2022-03-05
1195,2982993,13,15,18,21,25,35,32,2022-03-01
