CONCURSO,R1,R2,R3,R4,R5,R6,FECHA
3625,5,8,13,14,48,52,2022-08-12
3624,11,22,29,46,53,55,2022-08-10
3623,6,12,14,18,21,42,2022-08-07
3622,18,27,33,43,50,56,2022-08-05
3621,13,17,18,22,30,44,2022-08-03
3620,4,14,20,22,40,53,2022-07-31
3619,8,10,35,44,47,56,2022-07-29
3618,25,26,35,41,44,55,2022-07-27
3617,4,6,17,23,24,30,2022-07-24
3616,5,30,35,38,45,56,2022-07-22
3615,11,17,19,21,47,50,2022-07-20
3614,17,29,37,41,51,56,2022-07-17
3613,4,21,23,27,32,43,2022-07-15
3612,8,9,17,30,43,56,2022-07-13
3611,12,16,29,38,53,54,2022-07-10
3610,5,12,17,29,37,53,2022-07-08
3609,19,26,27,30,46,52,2022-07-06
3608,5,24,38,44,46,53,2022-07-03
3607,4,9,27,28,31,52,2022-07-01
3606,3,8,9,11,28,47,2022-06-29
3605,6,7,13,14,34,53,2022-06-26
3604,7,16,26,28,41,53,2022-06-24
3603,1,7,15,38,41,42,2022-06-22
3602,5,20,32,41,52,55,2022-06-19
3601,19,23,36,39,41,56,2022-06-17
3600,26,29,39,43,46,54,2022-06-15
3599,27,31,33,35,41,43,2022-06-12
3598,12,19,33,41,53,56,2022-06-10
3597,3,5,6,24,30,43,2022-06-08
3596,5,7,31,38,39,54,2022-06-05
3595,5,9,15,20,46,50,2022-06-03
3594,12,15,19,24,32,33,2022-06-01
3593,2,36,39,41,46,49,2022-05-29
3592,1,4,5,20,44,47,2022-05-27
3591,1,17,29,35,36,55,2022-05-25
3590,19,22,33,38,47,55,2022-05-22
3589,6,11,18,23,24,41,2022-05-20
3588,12,18,19,21,26,44,2022-05-18
3587,3,8,15,50,51,56,2022-05-15
3586,1,24,25,32,33,49,2022-05-13
3585,6,10,12,37,52,54,2022-05-11
3584,1,4,16,19,37,53,2022-05-08
3583,13,22,28,32,46,56,2022-05-06
3582,4,21,22,30,34,36,2022-05-04
3581,4,13,19,22,31,49,2022-05-01
3580,1,3,15,23,34,44,2022-04-29
3579,2,19,33,38,41,52,2022-04-27
3578,15,25,31,32,35,55,2022-04-24
3577,8,13,14,23,38,56,2022-04-22
3576,4,8,24,32,45,46,2022-04-20
3575,7,9,10,19,43,56,2022-04-17
3574,3,9,15,36,38,55,2022-04-15
3573,27,33,34,36,47,54,2022-04-13
3572,2,3,5,24,43,53,2022-04-10
3571,5,15,20,28,29,31,2022-04-08
3570,3,11,24,54,55,56,2022-04-06
3569,14,26,29,30,38,53,2022-04-03
3568,4,11,16,18,19,25,2022-04-01
3567,16,19,20,25,26,39,2022-03-30
3566,12,13,28,30,37,55,2022-03-27
3565,11,29,34,39,41,48,2022-03-25
3564,7,13,14,36,44,45,2022-03-23
3563,25,27,28,30,52,54,2022-03-20
3562,14,18,21,31,40,50,2022-03-18
3561,1,2,29,31,41,54,2022-03-16
3560,17,24,37,42,47,53,2022-03-13
3559,2,7,18,42,45,53,2022-03-11
3558,1,4,10,14,21,37,2022-03-09
3557,8,22,34,43,50,54,2022-03-06
3556,2,12,27,32,41,52,2022-03-04
3555,4,14,26,31,50,52,2022-03-02
3554,2,9,20,23,46,52,2022-02-27
3553,1,8,13,20,53,56,2022-02-25
3552,8,13,17,41,43,49,2022-02-23
3551,1,7,11,16,37,42,2022-02-20
3550,8,10,14,23,25,35,2022-02-18
3549,2,10,11,33,35,48,2022-02-16
3548,2,13,28,30,37,44,2022-02-13
3547,2,17,23,45,46,48,2022-02-11
3546,13,18,29,33,44,55,2022-02-09
3545,1,8,11,23,32,47,2022-02-06
3544,12,17,39,40,46,49,2022-02-04
3543,2,21,23,37,40,42,2022-02-02
3542,16,20,35,40,42,54,2022-01-30
3541,3,15,17,25,35,36,2022-01-28
3540,10,15,20,23,54,56,2022-01-26
3539,13,14,15,39,43,53,2022-01-23
3538,8,13,15,18,47,55,2022-01-21
3537,8,13,29,43,54,56,2022-01-19
3536,5,42,47,48,50,56,2022-01-16
3535,12,14,31,33,35,36,2022-01-14
3534,5,20,22,25,29,31,2022-01-12
3533,3,9,21,32,35,53,2022-01-09
3532,3,5,17,18,40,51,2022-01-07
3531,1,15,19,20,46,48,2022-01-05
3530,10,31,33,40,43,45,2022-01-02
3529,1,3,31,33,37,53,2021-12-31
3528,6,10,15,28,40,51,2021-12-29
3527,7,15,33,46,53,55,2021-12-26
3526,17,28,31,32,41,47,2021-12-24
3525,7,21,38,46,48,52,2021-12-22
3524,17,19,30,32,45,48,2021-12-19
3523,17,28,29,31,41,51,2021-12-17
3522,5,15,17,23,49,56,2021-12-15
3521,4,27,37,47,49,51,2021-12-12
3520,6,14,24,32,37,50,2021-12-10
3519,24,33,38,42,50,51,2021-12-08
3518,9,28,31,37,44,55,2021-12-05
3517,5,12,23,28,31,33,2021-12-03
3516,18,19,27,36,38,40,2021-12-01
3515,3,4,14,24,38,42,2021-11-28
3514,4,31,42,45,49,50,2021-11-26
3513,12,27,32,35,44,51,2021-11-24
3512,1,25,39,43,49,56,2021-11-21
3511,5,18,20,22,43,56,2021-11-17
3510,20,26,32,33,48,55,2021-11-14
3509,6,25,36,49,54,55,2021-11-10
3508,6,8,10,23,33,35,2021-11-07
3507,6,18,34,37,48,52,2021-11-03
3506,4,8,36,40,45,50,2021-10-31
3505,11,30,43,44,50,56,2021-10-27
3504,21,28,39,41,42,49,2021-10-24
3503,11,19,23,28,39,50,2021-10-20
3502,8,16,33,37,44,52,2021-10-17
3501,3,15,19,24,40,54,2021-10-13
3500,18,26,31,38,50,55,2021-10-10
3499,3,6,17,31,38,52,2021-10-06
3498,9,25,30,34,43,54,2021-10-03
3497,1,15,23,26,43,54,2021-09-29
3496,21,27,36,41,47,53,2021-09-26
3495,1,7,9,23,51,55,2021-09-22
3494,5,12,31,41,43,54,2021-09-19
3493,18,22,28,29,39,55,2021-09-15
3492,10,18,24,34,47,48,2021-09-12
3491,17,21,24,25,33,48,2021-09-08
3490,6,9,28,29,33,54,2021-09-05
3489,14,18,19,22,32,50,2021-09-01
3488,5,20,24,29,32,34,2021-08-29
3487,1,13,24,25,41,49,2021-08-25
3486,9,23,31,33,54,56,2021-08-22
3485,6,14,15,23,39,40,2021-08-18
3484,17,35,38,40,44,52,2021-08-15
3483,5,14,21,45,50,55,2021-08-11
3482,1,20,30,42,45,50,2021-08-08
3481,3,4,18,19,40,45,2021-08-04
3480,15,23,30,36,40,42,2021-08-01
3479,7,17,32,35,46,56,2021-07-28
3478,7,13,21,22,28,30,2021-07-25
3477,1,7,22,34,36,41,2021-07-21
3476,9,15,17,20,22,26,2021-07-18
3475,7,19,23,30,41,51,2021-07-14
3474,2,25,26,38,50,54,2021-07-11
3473,3,5,16,17,35,44,2021-07-07
3472,1,22,29,31,49,51,2021-07-04
3471,23,27,35,53,54,55,2021-06-30
3470,2,16,30,48,49,54,2021-06-27
3469,2,3,8,14,29,33,2021-06-23
3468,4,8,22,26,43,45,2021-06-20
3467,2,10,22,29,31,49,2021-06-16
3466,5,30,40,43,50,55,2021-06-13
3465,6,11,30,35,47,52,2021-06-09
3464,4,5,12,43,50,54,2021-06-06
3463,5,21,24,36,52,53,2021-06-02
3462,17,26,28,44,50,52,2021-05-30
3461,3,12,13,38,40,44,2021-05-26
3460,3,5,9,33,43,54,2021-05-23
3459,4,28,33,45,46,47,2021-05-19
3458,4,9,13,37,41,51,2021-05-16
3457,2,7,16,19,34,49,2021-05-12
