CONCURSO,F1,F2,F3,F4,F5,F6,FECHA
3553,21,23,45,51,53,56,2022-02-25
3552,2,8,11,35,52,54,2022-02-23
3551,26,37,42,44,54,55,2022-02-20
3550,3,6,7,20,46,56,2022-02-18
3549,4,21,32,40,53,54,2022-02-16
3548,2,14,17,29,47,50,2022-02-13
3547,6,23,31,35,43,55,2022-02-11
3546,10,29,41,51,54,56,2022-02-09
3545,18,25,37,48,52,55,2022-02-06
3544,11,14,20,44,48,53,2022-02-04
3543,1,14,24,43,52,53,2022-02-02
3542,5,31,35,47,48,50,2022-01-30
3541,19,33,34,38,46,49,2022-01-28
3540,3,6,19,25,41,52,2022-01-26
3539,11,19,20,22,32,56,2022-01-23
3538,1,4,7,21,23,29,2022-01-21
3537,6,12,15,32,46,55,2022-01-19
3536,2,11,21,22,30,35,2022-01-16
3535,1,3,24,29,34,50,2022-01-14
3534,6,16,23,34,47,52,2022-01-12
3533,3,10,15,16,38,40,2022-01-09
3532,5,7,17,20,34,41,2022-01-07
3531,1,8,28,31,45,49,2022-01-05
3530,17,21,34,39,41,43,2022-01-02
3529,4,9,17,19,53,56,2021-12-31
3528,1,15,26,38,47,52,2021-12-29
3527,10,20,24,35,55,56,2021-12-26
3526,3,7,36,48,54,55,2021-12-24
3525,10,17,21,31,33,55,2021-12-22
3524,17,33,40,42,46,52,2021-12-19
3523,9,12,25,28,35,53,2021-12-17
3522,6,11,31,40,44,47,2021-12-15
3521,16,32,40,43,50,51,2021-12-12
3520,27,32,40,43,47,55,2021-12-10
3519,3,14,27,29,30,51,2021-12-08
3518,2,6,9,10,20,29,2021-12-05
3517,2,3,16,26,34,56,2021-12-03
3516,15,16,35,42,49,55,2021-12-01
3515,2,22,23,26,46,52,2021-11-28
3514,5,13,16,22,25,41,2021-11-26
3513,19,34,38,44,47,49,2021-11-24
3512,23,25,27,30,35,50,2021-11-21
3511,1,2,6,14,25,52,2021-11-17
3510,8,11,39,43,44,47,2021-11-14
3509,2,3,11,26,37,38,2021-11-10
3508,1,23,24,37,38,41,2021-11-07
3507,17,24,33,36,37,45,2021-11-03
3506,2,10,13,14,18,53,2021-10-31
3505,5,7,30,38,53,56,2021-10-27
3504,1,6,26,35,42,56,2021-10-24
3503,21,24,31,33,39,41,2021-10-20
3502,4,11,34,37,39,56,2021-10-17
3501,5,23,37,45,49,53,2021-10-13
3500,13,22,24,27,38,46,2021-10-10
3499,10,24,27,28,51,55,2021-10-06
3498,24,28,36,50,52,56,2021-10-03
3497,2,18,23,37,43,44,2021-09-29
3496,10,13,14,20,24,33,2021-09-26
3495,2,12,26,41,42,45,2021-09-22
3494,4,15,22,24,32,48,2021-09-19
3493,19,20,22,29,51,52,2021-09-15
3492,24,25,40,45,46,56,2021-09-12
3491,8,9,16,18,36,49,2021-09-08
3490,2,11,25,37,49,50,2021-09-05
3489,10,13,18,24,30,52,2021-09-01
3488,2,25,36,44,46,50,2021-08-29
3487,2,4,7,24,40,50,2021-08-25
3486,3,4,14,19,45,56,2021-08-22
3485,4,14,18,32,50,55,2021-08-18
3484,1,3,23,24,42,46,2021-08-15
3483,1,4,9,14,24,27,2021-08-11
3482,6,16,18,19,26,52,2021-08-08
3481,1,7,16,33,47,56,2021-08-04
3480,3,20,28,37,39,48,2021-08-01
3479,2,5,14,38,39,47,2021-07-28
3478,19,21,33,42,50,55,2021-07-25
3477,18,20,23,26,34,38,2021-07-21
3476,19,27,34,36,43,46,2021-07-18
3475,11,12,27,39,48,55,2021-07-14
3474,7,13,16,23,37,48,2021-07-11
3473,7,10,11,15,41,53,2021-07-07
3472,4,20,26,36,49,51,2021-07-04
3471,5,8,15,23,29,49,2021-06-30
3470,11,19,20,42,47,53,2021-06-27
3469,3,10,15,20,47,53,2021-06-23
3468,9,20,22,31,41,55,2021-06-20
3467,4,12,15,29,30,42,2021-06-16
3466,14,15,32,45,47,56,2021-06-13
3465,4,12,36,40,48,53,2021-06-09
3464,7,16,40,44,45,48,2021-06-06
3463,21,24,28,34,45,48,2021-06-02
3462,7,10,21,25,38,47,2021-05-30
3461,6,7,16,21,32,50,2021-05-26
3460,1,4,34,36,51,54,2021-05-23
3459,17,20,40,42,43,55,2021-05-19
3458,15,32,36,50,51,55,2021-05-16
3457,15,27,28,32,44,51,2021-05-12
3456,17,25,43,44,50,55,2021-05-09
