CONCURSO,R1,R2,R3,R4,R5,FECHA
47864,2,4,2,4,3,2007-09-03
47863,2,8,5,8,2,2007-09-03
47862,8,1,7,6,1,2007-09-04
47861,5,5,5,0,4,2007-09-04
47860,1,5,2,8,9,2007-09-05
47859,4,7,7,0,9,2007-09-05
47858,7,2,7,2,4,2007-09-06
47857,0,7,0,1,6,2007-09-06
47856,7,0,1,5,2,2007-09-07
47855,9,0,8,3,5,2007-09-07
47854,4,8,8,7,3,2007-09-08
47853,1,5,4,8,5,2007-09-08
47852,2,2,3,0,7,2007-09-09
47851,5,0,6,0,5,2007-09-09
47850,9,5,9,8,9,2007-09-10
47849,8,0,7,9,6,2007-09-10
47848,0,1,7,1,4,2007-09-11
47847,7,6,4,9,0,2007-09-11
47846,9,3,0,0,2,2007-09-12
47845,7,5,0,2,8,2007-09-12
47844,4,4,3,7,1,2007-09-13
47843,1,4,1,7,3,2007-09-13
47842,8,8,6,3,2,2007-09-14
47841,7,4,5,8,1,2007-09-14
47840,2,9,9,5,7,2007-09-15
47839,0,9,6,5,0,2007-09-15
47838,7,3,6,1,8,2007-09-16
47837,9,4,0,4,6,2007-09-16
47836,1,3,5,6,4,2007-09-17
47835,5,8,2,2,5,2007-09-17
47834,7,3,4,2,3,2007-09-18
47833,4,2,6,1,1,2007-09-18
47832,1,7,0,6,3,2007-09-19
47831,8,3,8,2,1,2007-09-19
47830,5,5,7,9,2,2007-09-20
47829,0,1,6,5,5,2007-09-20
47828,2,1,8,1,7,2007-09-21
47827,1,1,5,1,9,2007-09-21
47826,0,1,7,8,4,2007-09-22
47825,7,3,2,6,1,2007-09-22
47824,4,0,3,0,1,2007-09-23
47823,9,9,4,8,4,2007-09-23
47822,5,1,8,6,0,2007-09-24
47821,2,4,2,2,6,2007-09-24
47820,4,4,1,7,1,2007-09-25
47819,4,3,5,0,5,2007-09-25
47818,4,4,5,3,9,2007-09-26
47817,9,4,4,5,8,2007-09-26
47816,3,4,4,1,1,2007-09-27
47815,5,6,6,0,3,2007-09-27
47814,2,0,9,4,8,2007-09-28
47813,0,6,0,2,5,2007-09-28
47812,4,4,0,8,2,2007-09-29
47811,2,4,1,0,5,2007-09-29
