CONCURSO,R1,R2,R3,R4,R5,R6,R7,FECHA,PRIMOS,REPETIDOS,MEDIA
3943,1,23,25,32,36,44,3,2024-08-23,1,0,26.8
3942,18,22,29,35,39,51,31,2024-08-21,1,0,32.3
3941,2,14,16,25,32,40,46,2024-08-18,1,2,21.5
3940,2,28,30,31,40,51,44,2024-08-16,2,1,30.3
3939,1,3,4,12,30,41,16,2024-08-14,2,0,15.2
3938,8,14,34,40,44,53,18,2024-08-11,1,1,32.2
3937,7,9,16,25,53,54,33,2024-08-09,2,1,27.3
3936,4,5,16,22,27,39,54,2024-08-07,1,0,18.8
3935,6,11,14,25,33,44,45,2024-08-04,1,1,22.2
3934,4,11,12,29,30,49,46,2024-08-02,2,0,22.5
3933,19,25,36,41,45,47,17,2024-07-31,3,3,35.5
3932,25,29,40,41,47,50,16,2024-07-28,3,2,38.7
3931,4,10,21,25,26,41,44,2024-07-26,1,2,21.2
3930,4,6,32,35,40,41,56,2024-07-24,1,1,26.3
3929,15,18,21,40,42,51,46,2024-07-21,0,1,31.2
3928,5,22,26,50,51,53,34,2024-07-19,2,1,34.5
3927,6,7,11,21,22,30,12,2024-07-17,2,0,16.2
3926,2,3,10,17,23,39,4,2024-07-14,4,1,15.7
3925,10,18,31,44,45,49,33,2024-07-12,1,1,32.8
3924,3,4,5,10,39,52,53,2024-07-10,2,0,18.8
3923,6,12,14,28,38,53,56,2024-07-07,1,1,25.2
3922,1,18,24,25,38,50,22,2024-07-05,0,0,26
3921,11,36,39,41,53,54,16,2024-07-03,3,0,39
3920,4,8,17,33,35,47,23,2024-06-30,2,0,24
3919,13,21,32,36,37,56,4,2024-06-28,2,2,32.5
3918,13,24,27,28,32,55,52,2024-06-26,1,1,29.8
3917,3,4,27,31,33,34,52,2024-06-23,2,0,22
3916,1,10,20,24,39,54,36,2024-06-21,0,2,24.7
3915,1,6,36,39,41,45,3,2024-06-19,1,1,28
3914,1,7,15,18,50,51,8,2024-06-16,1,1,23.7
3913,6,13,27,30,50,55,20,2024-06-14,1,0,30.2
3912,7,24,32,36,43,49,39,2024-06-12,2,2,31.8
3911,3,6,29,42,43,49,27,2024-06-09,3,1,28.7
3910,1,3,11,22,24,30,54,2024-06-07,2,3,15.2
3909,1,3,22,41,45,55,11,2024-06-05,2,0,27.8
3908,23,25,33,35,49,56,19,2024-06-02,1,1,36.8
3907,9,14,33,42,43,53,41,2024-05-31,2,1,32.3
3906,4,7,15,29,31,33,12,2024-05-29,3,1,19.8
3905,4,11,16,19,22,54,36,2024-05-26,2,0,21
3904,20,32,35,36,45,53,22,2024-05-24,1,3,36.8
3903,6,20,25,26,32,35,51,2024-05-22,0,0,24
3902,3,24,40,44,53,55,28,2024-05-19,2,0,36.5
3901,6,29,30,41,46,52,24,2024-05-17,2,1,34
3900,3,30,31,37,44,45,42,2024-05-15,3,0,31.7
3899,2,8,10,28,41,42,22,2024-05-12,2,0,21.8
3898,1,12,16,18,26,46,8,2024-05-10,0,1,19.8
3897,3,9,13,18,19,44,35,2024-05-08,3,1,17.7
3896,11,19,21,37,38,51,55,2024-05-05,3,1,29.5
3895,1,11,13,45,47,53,38,2024-05-03,4,1,28.3
3894,4,14,18,29,32,53,26,2024-05-01,2,3,25
3893,4,12,32,42,46,53,16,2024-04-28,1,2,31.5
3892,4,12,20,21,39,41,52,2024-04-26,1,0,22.8
3891,5,22,24,29,51,54,12,2024-04-24,2,1,30.8
3890,2,15,24,42,43,44,40,2024-04-21,2,1,28.3
3889,2,11,19,23,33,48,1,2024-04-19,4,0,22.7
3888,21,25,32,43,52,53,6,2024-04-17,2,0,37.7
3887,1,12,18,38,41,47,28,2024-04-14,2,0,26.2
3886,14,16,37,44,53,55,31,2024-04-12,2,1,36.5
3885,8,9,30,33,37,48,28,2024-04-10,1,0,27.5
3884,16,18,24,44,51,56,3,2024-04-07,0,2,34.8
