DRAW,DRAW_DATE,N1,N2,N3,N4,N5,MEGA_BALL,MULTIPLIER,ESTIMATED_JACKPOT,PRIMES,REPEATED,MEAN
2057,2022-02-11,11,16,23,24,30,24,3,53000000,2,0,20.8
2056,2022-02-08,1,17,20,52,54,2,3,42000000,1,0,28.8
2055,2022-02-04,7,16,34,44,61,24,4,31000000,2,0,32.4
2055,2022-02-01,11,24,38,62,66,1,4,31000000,1,0,40.2
2054,2022-01-28,3,16,25,44,55,13,3,20000000,1,1,28.6
2053,2022-01-25,3,12,38,53,58,13,3,421000000,2,1,32.8
2052,2022-01-21,38,45,46,55,67,18,2,396000000,1,0,50.2
2051,2022-01-18,4,19,39,42,52,9,4,376000000,1,0,31.2
2050,2022-01-14,5,8,13,22,48,25,2,347000000,2,0,19.2
2049,2022-01-11,2,3,19,52,58,16,2,325000000,3,0,26.8
2048,2022-01-07,7,29,43,56,57,6,3,300000000,3,0,38.4
2047,2022-01-04,4,6,16,21,22,1,3,278000000,0,0,13.8
2046,2021-12-31,2,5,30,46,61,8,3,244000000,3,1,28.8
2045,2021-12-28,3,5,8,31,38,4,3,221000000,3,0,17.0
2044,2021-12-24,16,17,25,36,37,16,2,201000000,2,1,26.2
2043,2021-12-21,25,31,58,64,67,24,3,187000000,2,0,49.0
2042,2021-12-17,21,32,38,48,62,10,3,171000000,0,0,40.2
2041,2021-12-14,33,35,44,55,69,20,3,148000000,0,0,47.2
2040,2021-12-10,23,25,40,42,60,8,2,148000000,1,1,38.0
2039,2021-12-07,1,7,40,43,68,1,2,135000000,2,0,31.8
2038,2021-12-03,22,45,48,58,61,13,5,135000000,1,0,46.8
2037,2021-11-30,7,8,26,30,39,17,2,112000000,1,1,22.0
2036,2021-11-26,7,27,37,42,59,2,2,102000000,3,1,34.4
2035,2021-11-23,7,24,54,57,58,6,3,94000000,1,0,40.0
2034,2021-11-19,5,23,52,53,59,18,5,83000000,4,1,38.4
2033,2021-11-16,6,22,44,53,65,3,3,74000000,1,0,38.0
2032,2021-11-12,30,32,42,46,48,15,2,63000000,0,0,39.6
2031,2021-11-09,9,14,16,26,49,14,3,53000000,0,0,22.8
2030,2021-11-05,10,15,20,66,68,18,2,45000000,0,1,35.8
2029,2021-11-02,5,10,26,58,65,9,2,26000000,1,1,32.8
2028,2021-10-29,15,26,28,35,45,4,3,26000000,0,0,29.8
2027,2021-10-26,6,14,19,56,62,9,4,26000000,1,1,31.4
2026,2021-10-22,9,14,26,29,66,22,3,20000000,1,0,28.8
2025,2021-10-19,3,12,13,19,52,1,3,108000000,3,1,19.8
2024,2021-10-15,3,20,31,34,65,18,3,94000000,2,1,30.6
2023,2021-10-12,21,26,56,61,65,4,3,84000000,1,1,45.8
2022,2021-10-08,21,24,36,40,70,22,5,73000000,0,1,38.2
2021,2021-10-05,7,11,18,30,36,4,3,60000000,2,1,20.4
2020,2021-10-01,21,25,36,62,63,6,2,45000000,0,0,41.4
2019,2021-09-28,18,30,43,68,69,22,4,34000000,1,1,45.6
2018,2021-09-24,17,21,27,43,56,15,3,22000000,2,1,32.8
2017,2021-09-21,36,41,45,51,56,13,3,20000000,1,0,45.8
2016,2021-09-17,17,32,40,59,61,18,3,432000000,3,0,41.8
2015,2021-09-14,4,13,19,63,64,16,2,405000000,2,1,32.6
2014,2021-09-10,20,32,35,47,64,18,2,383000000,1,1,39.6
2013,2021-09-07,15,17,25,32,53,12,3,368000000,2,0,28.4
2012,2021-09-03,7,10,12,61,65,3,2,345000000,2,0,31.0
2011,2021-08-31,8,14,31,58,68,15,3,323000000,1,0,35.8
2010,2021-08-27,1,10,44,47,56,23,3,306000000,1,0,31.6
2009,2021-08-24,17,18,26,52,67,19,2,288000000,2,0,36.0
2008,2021-08-20,41,43,51,57,70,1,2,270000000,2,0,52.4
2007,2021-08-17,3,6,16,38,56,24,3,256000000,1,0,23.8
2006,2021-08-13,17,21,35,40,53,11,2,242000000,2,0,33.2
2005,2021-08-10,29,45,50,59,62,12,2,225000000,2,0,49.0
2004,2021-08-06,9,18,40,46,69,9,2,208000000,0,1,36.4
2003,2021-08-03,1,9,17,27,34,24,2,191000000,1,0,17.6
2002,2021-07-30,19,26,31,52,68,10,3,179000000,2,0,39.2
2001,2021-07-27,2,35,36,54,64,11,3,166000000,1,0,38.2
2000,2021-07-23,13,17,19,40,69,17,3,153000000,3,0,31.6
1999,2021-07-20,10,26,30,52,57,10,2,138000000,0,2,35.0
1998,2021-07-16,24,25,47,52,57,24,4,128000000,1,0,41.0
1997,2021-07-13,3,10,17,26,55,24,2,117000000,2,0,22.2
1996,2021-07-09,6,37,39,41,46,17,2,104000000,2,0,33.8
1995,2021-07-06,18,47,63,68,69,14,3,94000000,1,0,53.0
1994,2021-07-02,8,31,32,34,45,19,2,82000000,1,0,30.0
1993,2021-06-29,7,38,50,52,69,21,3,72000000,1,0,43.2
1992,2021-06-25,17,20,42,45,65,12,4,61000000,1,0,37.8
1991,2021-06-22,1,26,48,51,59,25,4,50000000,1,0,37.0
1990,2021-06-18,14,36,44,46,53,18,2,40000000,1,0,38.6
