CONCURSO,ID,F1,F2,F3,F4,F5,F6,F7,BOLSA,FECHA,PRIMOS,REPETIDOS,MEDIA
1544,1309188,3,23,25,27,29,30,1,5200000,2025-07-05,3,1,22.8
1543,705289,2,7,9,10,24,29,33,5100000,2025-07-01,3,0,13.5
1542,2902541,12,14,15,26,31,37,6,5000000,2025-06-28,2,0,22.5
1541,470606,1,17,19,29,30,38,14,68000000,2025-06-24,3,1,22.3
1540,2052801,6,11,20,30,34,35,5,63500000,2025-06-21,1,2,22.7
1539,2844574,11,16,17,26,28,35,3,58900000,2025-06-17,2,3,22.2
1538,2241346,7,11,13,16,26,33,29,50700000,2025-06-14,3,3,17.7
1537,1526206,4,11,13,33,35,38,24,50700000,2025-06-10,2,2,22.3
1536,1541712,4,12,13,15,29,37,5,46500000,2025-06-07,3,0,18.3
1535,2228495,7,10,16,26,30,35,20,42300000,2025-06-03,1,0,20.7
1534,943040,3,4,5,22,25,27,29,38300000,2025-05-31,2,1,14.3
1533,2648675,9,19,20,22,24,31,26,34700000,2025-05-27,2,1,20.8
1532,384970,1,11,12,19,37,38,4,31300000,2025-05-24,3,0,19.7
1531,1576963,4,14,16,24,28,34,32,28000000,2025-05-20,0,1,20.0
1530,1234785,3,13,14,17,27,29,39,24700000,2025-05-17,4,2,17.2
1529,828402,2,11,15,24,27,29,38,21900000,2025-05-13,3,1,18.0
1528,2974502,13,14,20,21,27,36,28,19000000,2025-05-10,1,2,21.8
1527,2080186,6,13,16,27,34,35,11,16700000,2025-05-06,1,0,21.8
1526,2549944,9,10,30,33,36,39,16,14000000,2025-05-03,0,1,26.2
1525,759021,2,8,16,32,33,37,35,12000000,2025-04-29,2,1,21.3
1524,1635758,4,24,27,28,30,33,1,9900000,2025-04-26,0,0,24.3
1523,234115,1,6,9,12,21,31,14,8000000,2025-04-22,1,0,13.3
1522,1128866,3,8,13,20,23,24,22,6600000,2025-04-19,3,1,15.2
1521,983488,3,4,18,22,29,38,31,5200000,2025-04-15,2,2,19.0
1520,3078851,14,22,28,29,31,33,30,5100000,2025-04-12,2,0,26.2
1519,1682256,5,7,8,13,32,38,10,5000000,2025-04-08,3,0,17.2
1518,1153462,3,9,12,19,20,37,16,6300000,2025-04-05,3,1,16.7
1517,2801587,11,12,21,24,29,33,2,5200000,2025-04-01,2,0,21.7
1516,3194474,18,20,23,25,27,32,10,5100000,2025-03-29,1,1,24.2
1515,2887567,12,13,14,23,28,38,34,5000000,2025-03-25,2,0,21.3
