DRAW,DRAW_DATE,N1,N2,N3,N4,N5,N6,MULTIPLIER,ESTIMATED_JACKPOT,PRIMES,REPEATED,MEAN
1293,2022-04-20,20,30,45,55,56,14,2,400000000,0,1,41.2
1293,2022-04-18,8,33,55,59,62,18,2,370000000,1,1,43.4
1293,2022-04-16,15,21,32,62,65,26,5,348000000,0,0,39.0
1293,2022-04-13,14,16,41,63,68,26,2,325000000,1,0,40.4
1293,2022-04-11,5,7,24,31,34,4,2,302000000,3,1,20.2
1293,2022-04-09,6,16,31,62,66,18,2,288000000,1,1,36.2
1293,2022-04-06,6,42,45,47,64,18,3,268000000,1,0,40.8
1293,2022-04-04,2,32,39,46,69,6,2,246000000,1,0,37.6
1293,2022-04-02,6,28,47,58,59,18,2,231000000,2,0,39.6
1293,2022-03-30,3,7,21,31,37,11,3,222000000,4,0,19.8
1293,2022-03-28,11,18,39,58,62,3,2,206000000,1,0,37.6
1293,2022-03-26,2,10,50,59,61,6,3,195000000,3,0,36.4
1293,2022-03-23,31,32,37,38,48,24,2,181000000,2,0,37.2
1293,2022-03-21,1,15,26,63,65,16,2,167000000,0,0,34.0
1293,2022-03-19,8,9,18,48,52,6,2,156000000,0,0,27.0
1293,2022-03-16,3,28,34,35,58,17,2,156000000,1,1,31.6
1292,2022-03-14,21,28,32,44,49,6,3,156000000,0,0,34.8
1291,2022-03-12,19,20,37,39,61,8,2,124000000,3,0,35.2
1290,2022-03-09,13,22,34,51,67,10,2,90000000,2,1,37.4
1289,2022-03-07,10,43,55,59,67,2,3,90000000,3,0,46.8
1288,2022-03-05,8,23,37,52,63,13,2,90000000,2,2,36.6
1287,2022-03-02,19,37,48,61,63,12,2,85000000,3,0,45.6
1286,2022-02-28,7,21,39,47,55,19,2,73000000,2,0,33.8
1285,2022-02-26,15,32,36,48,64,19,3,65000000,0,1,39.0
1284,2022-02-23,6,17,21,35,64,18,2,58000000,1,0,28.6
1283,2022-02-21,2,36,37,45,69,3,2,45000000,2,0,37.8
1282,2022-02-19,3,10,15,33,42,11,2,37000000,1,1,20.6
1281,2022-02-16,22,30,40,42,48,16,2,31000000,0,0,36.4
1280,2022-02-14,16,25,27,49,55,17,3,20000000,0,0,34.4
1279,2022-02-12,8,10,21,41,62,7,3,183000000,1,0,28.4
1278,2022-02-09,2,17,33,51,63,26,2,172000000,2,0,33.2
1277,2022-02-07,5,15,38,47,65,10,3,158000000,2,1,34.0
1276,2022-02-05,5,16,27,39,61,24,2,147000000,2,0,29.6
1275,2022-02-02,18,29,33,62,63,15,3,137000000,1,0,41.0
1274,2022-01-31,10,15,51,61,69,14,3,123000000,1,1,41.2
1273,2022-01-29,2,15,38,54,65,11,4,113000000,1,1,34.8
1272,2022-01-26,4,11,38,49,69,16,3,113000000,1,1,34.2
1271,2022-01-24,11,29,30,47,53,16,3,91000000,4,0,34.0
1270,2022-01-22,8,14,33,36,67,17,2,82000000,1,0,31.6
