CONCURSO,F1,F2,F3,F4,F5,F6,F7,FECHA,PRIMOS,REPETIDOS,MEDIA
1445,2,21,24,26,28,30,8,2024-07-23,1,2,21.8
1444,2,8,11,16,30,33,27,2024-07-20,2,1,16.7
1443,2,14,21,22,24,26,31,2024-07-16,1,1,18.2
1442,1,15,18,20,26,27,17,2024-07-13,0,1,17.8
1441,9,11,17,24,26,35,2,2024-07-09,2,1,20.3
1440,17,20,25,28,29,32,26,2024-07-06,2,1,25.2
1439,2,6,27,28,30,35,10,2024-07-02,1,1,21.3
1438,5,7,10,20,30,34,26,2024-06-29,2,1,17.7
1437,11,14,23,26,30,39,31,2024-06-25,2,1,23.8
1436,15,24,30,32,34,36,1,2024-06-22,0,0,28.5
1435,2,11,23,25,33,37,29,2024-06-18,4,0,21.8
1434,5,10,14,21,32,38,34,2024-06-15,1,1,20
1433,3,7,16,28,32,34,29,2024-06-11,2,0,20
1432,2,18,19,20,21,29,25,2024-06-08,3,0,18.2
1431,4,11,17,26,27,37,12,2024-06-04,3,1,20.3
1430,3,5,9,11,14,33,25,2024-06-01,3,1,12.5
1429,4,8,9,10,19,20,6,2024-05-28,1,0,11.7
1428,15,18,27,28,31,38,37,2024-05-25,1,0,26.2
1427,6,14,16,21,23,37,3,2024-05-21,2,2,19.5
1426,5,7,8,23,32,37,31,2024-05-18,4,0,18.7
1425,3,9,10,11,33,36,28,2024-05-14,2,1,17
1424,1,11,13,16,31,39,22,2024-05-11,3,1,18.5
1423,2,6,19,24,37,39,38,2024-05-07,3,1,21.2
1422,4,17,26,29,34,39,36,2024-05-04,2,1,24.8
1421,5,6,26,28,36,38,10,2024-04-30,1,1,23.2
1420,4,6,9,11,23,39,32,2024-04-27,2,1,15.3
1419,5,10,16,17,20,39,32,2024-04-23,2,1,17.8
1418,10,15,24,25,29,34,26,2024-04-20,1,0,22.8
1417,9,12,14,19,27,36,3,2024-04-16,1,2,19.5
1416,4,9,11,14,20,26,34,2024-04-13,1,2,14
1415,3,11,14,30,31,39,18,2024-04-09,3,2,21.3
1414,6,8,11,13,14,36,21,2024-04-06,2,1,14.7
1413,6,15,22,34,37,39,4,2024-04-02,1,1,25.5
1412,1,5,6,13,14,16,35,2024-03-30,2,1,9.2
1411,16,19,21,29,30,37,26,2024-03-26,3,0,25.3
1410,6,7,10,14,24,26,18,2024-03-23,1,1,14.5
1409,18,19,21,23,24,37,2,2024-03-19,3,0,23.7
1408,1,2,6,20,28,34,4,2024-03-16,1,0,15.2
