CONCURSO,ID,F1,F2,F3,F4,F5,F6,FECHA,PRIMOS,REPETIDOS,MEDIA
4019,5955490,2,16,26,42,53,55,2025-02-16,2,0,32.3
4018,21880521,10,12,13,14,36,48,2025-02-14,1,1,22.2
4017,2081957,1,10,27,32,33,34,2025-02-12,0,0,22.8
4016,19976947,8,24,29,37,43,52,2025-02-09,3,0,32.2
4015,24617602,12,15,23,35,40,42,2025-02-07,1,0,27.8
4014,2508122,1,13,34,39,46,55,2025-02-05,1,1,31.3
4013,23811423,11,18,33,36,50,55,2025-02-02,1,0,33.8
4012,21898865,10,12,14,25,31,37,2025-01-31,2,1,21.5
4011,19249409,8,14,16,23,54,56,2025-01-29,1,1,28.5
4010,22846915,10,23,30,31,41,45,2025-01-26,3,0,30
4009,213927,1,2,15,37,43,49,2025-01-24,3,1,24.5
4008,24588418,12,15,19,23,44,55,2025-01-22,2,2,28
4007,27486123,15,19,22,28,29,31,2025-01-19,3,2,24
4006,2260993,1,12,13,19,22,37,2025-01-17,3,0,17.3
4005,6025520,2,17,24,27,28,54,2025-01-15,2,0,25.3
4004,21354077,9,21,22,23,31,34,2025-01-12,2,1,23.3
4003,31531297,24,34,37,39,45,54,2025-01-10,1,0,38.8
4002,3082315,1,20,29,33,40,43,2025-01-08,2,1,27.7
4001,50839,1,2,5,10,30,49,2025-01-05,2,0,16.2
4000,11905166,4,24,38,43,48,56,2025-01-03,1,2,35.5
3999,9839798,4,6,11,31,45,48,2025-01-01,2,0,24.2
3998,28263837,16,21,23,40,41,54,2024-12-29,2,1,32.5
3997,6756155,3,4,11,21,31,55,2024-12-27,3,0,20.8
3996,29386898,18,22,23,34,39,51,2024-12-25,1,1,31.2
3995,3275535,1,24,40,50,51,56,2024-12-22,0,1,37
3994,2287559,1,12,15,27,33,39,2024-12-20,0,0,21.2
3993,13966640,5,19,21,26,50,52,2024-12-18,2,1,28.8
3992,21263177,9,19,25,43,47,54,2024-12-15,3,1,32.8
3991,3359821,1,27,47,48,53,56,2024-12-13,2,2,38.7
3990,27089515,14,27,31,34,36,56,2024-12-11,1,0,33
3989,6536868,2,28,35,46,50,53,2024-12-08,2,0,35.7
3988,15252985,6,11,15,34,37,45,2024-12-06,2,1,24.7
3987,12323997,5,6,30,36,40,47,2024-12-04,2,1,27.3
3986,28343244,16,22,34,36,42,46,2024-12-01,0,0,32.7
3985,11652422,4,19,28,37,38,56,2024-11-29,2,1,30.3
3984,29961780,19,25,32,35,53,54,2024-11-27,2,0,36.3
3983,1189317,1,6,10,20,29,48,2024-11-24,1,0,19
3982,13501101,5,14,15,23,25,40,2024-11-22,2,1,20.3
3981,25159255,12,23,31,46,49,54,2024-11-20,2,1,35.8
3980,28776327,17,20,21,46,51,52,2024-11-17,1,1,34.5
3979,26814273,14,20,26,27,30,55,2024-11-15,0,1,28.7
3978,11475113,4,17,20,46,49,56,2024-11-13,1,2,32
3977,28226647,16,20,27,30,44,56,2024-11-10,0,0,32.2
3976,8279896,3,11,33,42,43,52,2024-11-08,3,0,30.7
3975,1283036,1,6,18,29,35,41,2024-11-06,2,0,21.7
3974,26077969,13,22,30,39,40,49,2024-11-03,1,0,32.2
3973,13700473,5,15,33,44,48,54,2024-11-01,1,1,33.2
3972,19657060,8,18,24,33,36,55,2024-10-30,0,0,29
3971,15902711,6,16,30,32,47,49,2024-10-27,1,1,30
3970,20632165,9,12,31,49,53,54,2024-10-25,2,3,34.7
3969,5554118,2,12,42,46,49,53,2024-10-23,2,0,34
3968,11715025,4,20,29,43,45,48,2024-10-20,2,0,31.5
3967,22513856,10,17,32,35,46,53,2024-10-18,2,0,32.2
3966,27053474,14,26,27,30,31,37,2024-10-16,2,0,27.5
3965,27312881,15,16,42,46,47,54,2024-10-13,1,0,36.7
3964,15566970,6,13,22,33,49,56,2024-10-11,1,1,29.8
3963,26634974,14,17,32,36,38,56,2024-10-09,1,1,32.2
3962,22186620,10,14,20,24,26,27,2024-10-06,0,0,20.2
3961,12791041,5,9,13,16,18,53,2024-10-04,3,0,19
3960,7431114,3,7,10,17,20,52,2024-10-02,3,0,18.2
3959,31620896,25,28,31,43,47,49,2024-09-29,3,2,37.2
3958,21132278,9,17,28,31,46,48,2024-09-27,2,0,29.8
3957,27843615,15,27,33,38,52,55,2024-09-25,0,2,36.7
3956,26056946,13,22,24,38,53,55,2024-09-22,2,1,34.2
3955,17422869,7,13,16,20,21,28,2024-09-20,2,2,17.5
3954,20545821,9,12,16,20,24,48,2024-09-18,0,0,21.5
3953,27716470,15,23,29,39,51,54,2024-09-15,2,1,35.2
3952,26327446,13,32,40,45,46,54,2024-09-13,1,0,38.3
3951,3073391,1,20,26,37,53,55,2024-09-11,2,0,32
3950,25352639,12,31,38,41,42,47,2024-09-08,3,0,35.2
3949,10392749,4,8,36,51,52,54,2024-09-06,0,0,34.2
3948,25051432,12,21,25,33,43,50,2024-09-04,1,1,30.7
3947,25424364,13,14,16,23,42,43,2024-09-01,3,1,25.2
3946,27054671,14,26,27,34,37,45,2024-08-30,1,1,30.5
3945,27500993,15,19,25,27,47,53,2024-08-28,1,1,31
3944,11449089,4,16,39,42,44,47,2024-08-25,1,1,32
3943,19325669,8,14,28,47,48,56,2024-08-23,1,0,33.5
3942,23968805,11,21,26,31,34,53,2024-08-21,3,0,29.3
3941,1590809,1,8,10,13,40,54,2024-08-18,1,0,21
3940,21141975,9,17,31,41,49,51,2024-08-16,3,1,33
3939,10911079,4,12,14,38,43,51,2024-08-14,1,1,27
3938,13059828,5,10,26,37,50,51,2024-08-11,2,2,29.8
3937,11493728,4,17,24,26,27,51,2024-08-09,1,0,24.8
3936,1793706,1,9,11,32,42,50,2024-08-07,1,0,24.2
3935,17271097,7,12,13,26,46,56,2024-08-04,2,2,26.7
3934,12191511,5,6,12,13,21,38,2024-08-02,2,1,15.8
3933,16122621,6,19,29,34,40,48,2024-07-31,2,0,29.3
3932,31810186,26,31,32,39,47,53,2024-07-28,3,1,38
3931,1768946,1,9,10,13,30,31,2024-07-26,2,1,15.7
3930,24566078,12,15,16,31,35,48,2024-07-24,1,2,26.2
3929,7296683,3,6,16,26,45,48,2024-07-21,1,0,24
3928,17034507,7,10,18,23,43,46,2024-07-19,3,0,24.5
3927,13231437,5,11,36,38,41,42,2024-07-17,3,1,28.8
3926,20847958,9,14,25,39,42,55,2024-07-14,0,1,30.7
3925,18690447,8,10,13,14,15,43,2024-07-12,2,0,17.2
3924,6569281,2,30,35,44,53,54,2024-07-10,2,1,36.3
3923,4395267,2,6,13,27,37,47,2024-07-07,4,1,22
3922,32231604,30,39,45,47,55,56,2024-07-05,1,1,45.3
3921,5897280,2,16,17,27,43,56,2024-07-03,3,1,26.8
3920,15590572,6,13,27,39,40,41,2024-06-30,2,0,27.7
3919,28078581,16,18,22,29,34,55,2024-06-28,1,0,29
3918,6466949,2,25,37,41,43,54,2024-06-26,4,1,33.7
3917,29517330,18,25,28,49,53,55,2024-06-23,1,1,38
3916,17476364,7,13,23,25,34,44,2024-06-21,3,1,24.3
3915,14954761,6,9,17,21,34,47,2024-06-19,2,2,22.3
3914,21175345,9,18,21,36,44,46,2024-06-16,0,0,29
3913,19314844,8,14,26,27,29,54,2024-06-14,1,1,26.3
3912,26946857,14,23,24,31,36,49,2024-06-12,2,0,29.5
3911,21385892,9,21,29,30,37,38,2024-06-09,2,0,27.3
3910,2007343,1,10,16,17,40,41,2024-06-07,2,0,20.8
3909,13685129,5,15,27,39,50,53,2024-06-05,2,1,31.5
3908,12271605,5,6,19,31,33,43,2024-06-02,4,0,22.8
3907,22931442,10,25,46,49,50,52,2024-05-31,0,1,38.7
3906,17043361,7,10,19,26,28,34,2024-05-29,2,0,20.7
3905,13754060,5,16,22,41,44,45,2024-05-26,2,0,28.8
3904,10033029,4,7,10,21,33,36,2024-05-24,1,1,18.5
3903,16211738,6,21,23,42,43,52,2024-05-22,2,1,31.2
3902,3977335,2,4,20,22,43,47,2024-05-19,3,1,23
3901,30394017,20,27,34,41,42,45,2024-05-17,1,2,34.8
3900,29442589,18,23,26,42,45,50,2024-05-15,1,0,34
3899,4193077,2,5,16,20,21,47,2024-05-12,3,0,18.5
3898,31758198,26,28,29,40,44,49,2024-05-10,1,1,36
3897,27465630,15,18,37,40,47,52,2024-05-08,2,0,34.8
3896,5102130,2,9,36,43,44,51,2024-05-05,2,0,30.8
3895,28843063,17,21,24,32,40,42,2024-05-03,1,0,29.3
3894,28083298,16,18,23,27,34,45,2024-05-01,1,0,27.2
3893,27628510,15,21,29,35,49,51,2024-04-28,1,1,33.3
3892,20233638,9,10,13,29,39,56,2024-04-26,2,1,26
3891,7495696,3,7,15,21,22,56,2024-04-24,2,0,20.7
3890,23623820,11,16,23,40,44,54,2024-04-21,2,0,31.3
3889,27591267,15,20,38,39,46,52,2024-04-19,0,0,35
3888,21511281,9,24,29,40,42,51,2024-04-17,1,1,32.5
3887,23271304,11,13,17,20,43,51,2024-04-14,4,0,25.8
3886,8615909,3,14,23,28,37,44,2024-04-12,3,1,24.8
3885,2143633,1,11,14,35,41,52,2024-04-10,2,0,25.7
3884,25917770,13,19,29,39,43,49,2024-04-07,4,1,32
3883,25947526,13,20,22,37,41,42,2024-04-05,3,0,29.2
3882,4723431,2,7,32,43,47,48,2024-04-03,4,1,29.8
3881,3972035,2,4,19,26,37,56,2024-03-31,3,2,24
3880,13206751,5,11,26,29,39,56,2024-03-29,3,0,27.7
3879,19073983,8,12,24,37,53,55,2024-03-27,2,1,31.5
3878,9473083,3,33,37,43,45,49,2024-03-24,3,1,35
3877,29330347,18,20,45,47,54,55,2024-03-22,1,1,39.8
3876,8388960,3,12,24,50,52,54,2024-03-20,1,1,32.5
3875,32243355,31,32,36,40,44,50,2024-03-17,1,0,38.8
3874,15100364,6,10,15,24,28,46,2024-03-15,0,0,21.5
3873,4160542,2,5,13,19,25,32,2024-03-13,4,0,16
3872,24166620,11,26,31,34,45,51,2024-03-10,2,1,33
3871,29147484,17,31,36,43,44,54,2024-03-08,3,1,37.5
3870,10201214,4,7,41,42,43,45,2024-03-06,3,1,30.3
3869,6847179,3,4,20,23,26,35,2024-03-03,2,1,18.5
3868,8858190,3,17,18,29,33,40,2024-03-01,3,2,23.3
3867,25917918,13,19,29,40,45,54,2024-02-28,3,1,33.3
3866,3809083,2,4,6,29,53,56,2024-02-25,3,2,25
3865,4684352,2,7,22,27,53,54,2024-02-23,3,2,27.5
3864,6940951,3,5,7,18,20,53,2024-02-21,4,1,17.7
3863,13214166,5,11,28,31,32,56,2024-02-18,3,0,27.2
3862,22488860,10,17,24,37,44,51,2024-02-16,2,1,30.5
3861,25464721,13,14,21,26,37,54,2024-02-14,2,0,27.5
3860,22624458,10,19,23,43,45,55,2024-02-11,3,1,32.5
3859,27324259,15,17,19,22,53,56,2024-02-09,3,1,30.3
3858,29791074,19,21,26,41,43,48,2024-02-07,3,0,33
3857,1192129,1,6,10,25,36,54,2024-02-04,0,0,22
3856,23208584,11,12,26,35,46,52,2024-02-02,1,0,30.3
3855,27037893,14,25,31,32,37,55,2024-01-31,2,0,32.3
3854,18667936,8,10,11,17,42,47,2024-01-28,3,1,22.5
3853,22998182,10,28,36,43,49,53,2024-01-26,2,0,36.5
3852,30578606,21,23,26,33,38,51,2024-01-24,1,0,32
3851,8743312,3,15,29,39,50,55,2024-01-21,2,1,31.8
3850,27651825,15,22,23,37,43,56,2024-01-19,3,1,32.7
3849,10856243,4,11,25,42,43,49,2024-01-17,2,3,29
3848,4579310,2,7,11,22,42,49,2024-01-14,3,0,22.2
3847,19610534,8,17,32,52,53,56,2024-01-12,2,1,36.3
3846,24558194,12,14,44,50,52,55,2024-01-10,0,0,37.8
3845,1253934,1,6,15,25,31,54,2024-01-07,1,0,22
3844,26247051,13,27,35,45,49,51,2024-01-05,1,0,36.7
3843,23012965,10,29,34,40,46,54,2024-01-03,1,1,35.5
3842,12898082,5,9,27,29,32,53,2023-12-31,3,0,25.8
3841,4300578,2,6,7,16,37,50,2023-12-29,3,0,19.7
3840,1917945,1,9,27,29,36,45,2023-12-27,1,0,24.5
3839,5731592,2,14,20,47,49,55,2023-12-24,2,2,31.2
3838,26710277,14,18,33,34,47,56,2023-12-22,1,2,33.7
3837,11189275,4,14,19,27,33,35,2023-12-20,1,1,22
3836,17177412,7,11,17,29,33,36,2023-12-17,4,1,22.2
3835,6624912,2,36,43,46,50,51,2023-12-15,2,0,38
3834,27456789,15,18,31,40,41,54,2023-12-13,2,1,33.2
3833,11245415,4,14,31,36,47,49,2023-12-10,2,0,30.2
3832,9186058,3,21,46,48,55,56,2023-12-08,1,0,38.2
3831,19570184,8,17,22,25,41,49,2023-12-06,2,0,27
3830,29469507,18,23,43,45,48,52,2023-12-03,2,0,38.2
3829,31608299,25,27,36,44,47,56,2023-12-01,1,0,39.2
3828,16911495,7,9,24,29,31,55,2023-11-29,3,0,25.8
3827,16140346,6,19,41,46,52,54,2023-11-26,2,0,36.3
3826,9723846,4,5,24,37,43,53,2023-11-24,4,3,27.7
3825,31507454,24,31,41,43,52,53,2023-11-22,4,2,40.7
3824,31450888,24,28,31,42,45,49,2023-11-19,1,1,36.5
3823,25050792,12,21,25,31,36,51,2023-11-17,1,0,29.3
3822,25430209,13,14,17,18,27,44,2023-11-15,2,0,22.2
3821,32189238,30,32,35,41,49,53,2023-11-12,2,0,40
3820,31903609,27,29,33,44,54,55,2023-11-10,1,1,40.3
3819,1670796,1,8,16,26,35,55,2023-11-08,0,0,23.5
3818,22874226,10,24,27,32,34,47,2023-11-05,1,1,29
3817,20402428,9,11,15,24,26,45,2023-11-03,1,0,21.7
3816,27221609,14,44,46,49,53,55,2023-11-01,1,1,43.5
3815,28185798,16,19,34,37,44,45,2023-10-29,2,1,32.5
3814,30025602,19,28,29,32,36,50,2023-10-27,2,0,32.3
3813,27656064,15,22,24,34,35,38,2023-10-25,0,0,28
3812,32180070,30,31,36,46,47,51,2023-10-22,2,1,40.2
3811,8802135,3,16,22,26,29,30,2023-10-20,2,1,21
3810,29823847,19,22,23,40,44,53,2023-10-18,3,2,33.5
3809,29229083,18,19,23,33,43,50,2023-10-15,3,0,31
3808,134193,1,2,9,27,47,53,2023-10-13,3,0,23.2
3807,9297387,3,24,32,34,49,50,2023-10-11,1,0,32
3806,15537582,6,13,18,27,43,47,2023-10-08,3,1,25.7
3805,1120553,1,5,33,43,52,55,2023-10-06,2,1,31.5
3804,17234455,7,11,26,37,48,52,2023-10-04,3,1,30.2
3803,12769200,5,9,11,21,32,35,2023-10-01,2,1,18.8
3802,31126590,23,24,25,35,41,54,2023-09-29,2,1,33.7
3801,18217117,7,23,26,30,38,47,2023-09-27,3,1,28.5
3800,14392114,5,30,42,48,49,52,2023-09-24,1,0,37.7
3799,29309821,18,20,28,41,51,54,2023-09-22,1,1,35.3
3798,24471313,12,14,17,24,36,54,2023-09-20,1,0,26.2
3797,7873825,3,9,15,33,39,41,2023-09-17,2,0,23.3
3796,15191173,6,10,30,38,47,49,2023-09-15,1,1,30
3795,27287966,15,16,27,31,49,54,2023-09-13,1,0,32
3794,3768661,2,3,39,41,43,44,2023-09-10,4,0,28.7
3793,18376025,7,28,33,35,40,46,2023-09-08,1,0,31.5
3792,11421909,4,16,26,31,32,38,2023-09-06,1,1,24.5
3791,22469368,10,17,21,26,44,50,2023-09-03,1,0,28
3790,538135,1,3,19,25,28,33,2023-09-01,2,1,18.2
3789,908601,1,5,7,17,43,49,2023-08-30,4,1,20.3
3788,4180812,2,5,15,16,34,38,2023-08-27,2,0,18.3
3787,1338243,1,6,28,36,39,49,2023-08-25,0,1,26.5
3786,9721461,4,5,24,28,38,50,2023-08-23,1,0,24.8
3785,29108498,17,29,30,34,42,52,2023-08-20,2,1,34
3784,10007386,4,7,8,37,42,50,2023-08-18,2,0,24.7
3783,24527403,12,14,26,27,33,55,2023-08-16,0,0,27.8
