CONCURSO,ID,R1,R2,R3,R4,R5,R6,BOLSA,FECHA,PRIMOS,REPETIDOS,MEDIA
4125,31963719,27,34,38,43,50,54,96100000,2025-10-22,1,1,41.0
4124,2047246,1,10,20,33,43,49,93600000,2025-10-19,1,2,26.0
4123,903486,1,5,7,11,39,43,90900000,2025-10-17,4,0,17.7
4122,25790087,13,17,35,46,48,51,87900000,2025-10-15,2,0,35.0
4121,24558332,12,14,45,49,50,52,85700000,2025-10-12,0,1,37.0
4120,14218549,5,23,38,50,51,55,83000000,2025-10-10,2,0,37.0
4119,21941182,10,12,18,40,46,49,80200000,2025-10-08,0,0,29.2
4118,24266443,11,31,38,39,45,48,77800000,2025-10-05,2,0,35.3
4117,21238420,9,19,21,26,40,50,74900000,2025-10-03,1,1,27.5
4116,6187986,2,19,30,31,39,54,71900000,2025-10-01,3,1,29.2
4115,3136975,1,21,30,32,37,47,69600000,2025-09-28,2,1,28.0
4114,6638612,2,42,44,46,47,50,66800000,2025-09-26,2,0,38.5
4113,24572669,12,15,17,24,41,55,63800000,2025-09-24,2,0,27.3
4112,13437390,5,13,20,48,49,50,61600000,2025-09-21,2,2,30.8
4111,12279464,5,6,20,33,44,46,59000000,2025-09-19,1,1,25.7
4110,4235052,2,5,21,25,31,52,56500000,2025-09-17,3,1,22.7
4109,30741062,21,28,36,37,40,56,54300000,2025-09-14,1,2,36.3
4108,3800137,2,4,6,14,28,40,51800000,2025-09-12,1,0,15.7
4107,1870599,1,9,18,42,47,48,49000000,2025-09-10,1,0,27.5
4106,12403057,5,7,11,49,53,54,47000000,2025-09-07,4,0,29.8
4105,21269964,9,19,27,36,41,50,44500000,2025-09-05,2,1,30.3
4104,15115911,6,10,17,18,28,50,41600000,2025-09-03,1,1,21.5
4103,29633318,18,30,34,35,51,54,39300000,2025-08-31,0,0,37.0
4102,8247188,3,11,23,37,40,56,36700000,2025-08-29,4,0,28.3
4101,14427650,5,34,36,46,49,50,33900000,2025-08-27,1,2,36.7
4100,13859345,5,17,27,46,53,56,32100000,2025-08-24,3,0,34.0
4099,5104217,2,9,38,49,50,51,29300000,2025-08-22,1,1,33.2
4098,12850514,5,9,18,39,48,56,26500000,2025-08-20,1,1,29.2
4097,4590152,2,7,12,18,46,53,24500000,2025-08-17,3,0,23.0
4096,11783369,4,21,40,47,51,55,21800000,2025-08-15,1,1,36.3
4095,5227762,2,10,23,33,45,47,20700000,2025-08-13,3,1,26.7
4094,4205488,2,5,17,26,27,50,20600000,2025-08-10,3,1,21.2
4093,6449654,2,25,28,36,42,56,20500000,2025-08-08,1,0,31.5
4092,18556150,8,9,15,23,41,52,20400000,2025-08-06,2,0,24.7
4091,22457999,10,17,19,33,46,56,20300000,2025-08-03,2,0,30.2
4090,25830826,13,18,24,29,30,52,20200000,2025-08-01,2,0,27.7
4089,11670966,4,19,39,40,41,48,20100000,2025-07-30,2,1,31.8
4088,12416132,5,7,12,45,47,48,20000000,2025-07-27,3,1,27.3
4087,9106604,3,20,27,28,30,48,64500000,2025-07-25,1,1,26.0
4086,25599089,13,15,28,29,42,52,61800000,2025-07-23,2,1,29.8
4085,13915273,5,18,23,38,49,52,59600000,2025-07-20,2,1,30.8
4084,26132624,13,23,40,45,47,55,56800000,2025-07-18,3,0,37.2
4083,8711154,3,15,22,27,29,33,54300000,2025-07-16,2,0,21.5
4082,12774448,5,9,11,34,46,47,52300000,2025-07-13,3,1,25.3
4081,14004012,5,19,29,35,37,40,49700000,2025-07-11,4,1,27.5
4080,679550,1,4,8,23,35,51,47200000,2025-07-09,1,0,20.3
4079,15358824,6,12,13,17,29,52,45400000,2025-07-06,3,1,21.5
4078,17125756,7,11,12,35,49,53,42500000,2025-07-04,3,1,27.8
4077,13360492,5,12,32,33,43,55,39700000,2025-07-02,2,0,30.0
4076,17939386,7,18,23,31,44,50,37700000,2025-06-29,3,1,28.8
4075,31058599,22,31,32,36,47,55,34900000,2025-06-27,2,1,37.2
4074,8725683,3,15,25,26,30,31,32200000,2025-06-25,2,1,21.7
4073,21170130,9,18,21,22,26,44,30200000,2025-06-22,0,0,23.3
4072,3201528,1,23,24,27,32,49,27500000,2025-06-20,1,0,26.0
4071,14533568,6,7,12,35,36,43,24800000,2025-06-18,2,1,23.2
4070,31091890,22,34,36,41,52,54,22400000,2025-06-15,1,1,39.8
4069,12201679,5,6,12,30,37,41,20600000,2025-06-13,3,2,21.8
4068,32200404,30,33,37,44,45,54,20500000,2025-06-11,1,1,40.5
4067,22033919,10,13,15,27,37,51,20400000,2025-06-08,2,0,25.5
4066,28395390,16,24,25,33,46,47,20300000,2025-06-06,1,0,31.8
4065,3834239,2,4,8,12,34,39,20200000,2025-06-04,1,0,16.5
4064,2738444,1,16,17,48,54,55,20100000,2025-06-01,1,1,31.8
4063,10050150,4,7,11,27,34,54,20000000,2025-05-30,2,0,22.8
4062,8043473,3,10,16,24,28,55,121100000,2025-05-28,1,1,22.7
4061,27311076,15,16,39,40,49,53,118600000,2025-05-25,1,0,35.3
4060,22448396,10,17,18,28,29,34,115900000,2025-05-23,2,2,22.7
4059,27448103,15,18,28,35,36,48,112900000,2025-05-21,0,0,30.0
4058,28958017,17,23,33,34,45,46,110600000,2025-05-18,2,2,33.0
4057,1081037,1,5,22,32,33,45,107700000,2025-05-16,1,0,23.0
4056,8905154,3,17,26,30,47,52,104600000,2025-05-14,3,1,29.2
4055,8962957,3,18,23,24,37,50,102400000,2025-05-11,3,1,25.8
4054,31948952,27,32,40,46,50,51,99300000,2025-05-09,0,2,41.0
4053,20886215,9,15,16,27,36,40,96300000,2025-05-07,0,0,23.8
4052,18862849,8,11,14,42,49,55,94100000,2025-05-04,1,0,29.8
4051,10147345,4,7,21,28,46,50,91200000,2025-05-02,1,0,26.0
4050,13635472,5,15,18,43,53,54,88300000,2025-04-30,3,1,31.3
4049,24164504,11,26,30,35,43,48,86000000,2025-04-27,2,1,32.2
4048,22387938,10,16,21,28,48,49,83300000,2025-04-25,0,0,28.7
4047,27001406,14,24,29,31,50,53,80500000,2025-04-23,3,0,33.5
4046,23348778,11,13,32,35,47,48,78500000,2025-04-20,3,0,31.0
4045,28413506,16,24,30,44,53,55,75700000,2025-04-18,1,2,37.0
4044,28314466,16,22,24,35,47,48,73000000,2025-04-16,1,0,32.0
4043,12319789,5,6,29,30,32,55,71000000,2025-04-13,2,0,26.2
4042,17277033,7,12,14,17,24,42,68500000,2025-04-11,2,0,19.3
4041,16297650,6,22,40,51,55,56,65500000,2025-04-09,0,2,38.3
4040,15871906,6,16,22,35,41,45,63000000,2025-04-06,1,2,27.5
4039,10390596,4,8,35,37,45,49,60300000,2025-04-04,1,2,29.7
4038,28921054,17,22,35,41,45,48,57300000,2025-04-02,2,0,34.7
4037,28356964,16,23,25,26,34,56,55000000,2025-03-30,1,0,30.0
4036,4708160,2,7,27,31,37,51,52000000,2025-03-28,4,0,25.8
4035,19799518,8,20,29,30,33,45,49300000,2025-03-26,1,1,27.5
4034,232120,1,2,17,33,41,52,47300000,2025-03-23,3,0,24.3
4033,8939483,3,18,19,28,35,56,44500000,2025-03-21,2,0,26.5
4032,17353509,7,12,23,26,40,53,41900000,2025-03-19,3,0,26.8
4031,25834951,13,18,25,28,30,33,40000000,2025-03-16,1,2,24.5
4030,17446537,7,13,18,34,40,46,37500000,2025-03-14,2,0,26.3
4029,809197,1,4,19,25,45,47,34700000,2025-03-12,2,0,23.5
4028,5390831,2,11,26,36,39,56,30900000,2025-03-09,2,1,28.3
4027,3625552,2,3,12,16,28,31,30000000,2025-03-07,3,1,15.3
4026,28888203,17,22,24,28,41,43,27000000,2025-03-05,3,1,29.2
4025,30721385,21,27,36,43,53,54,24700000,2025-03-02,2,0,39.0
4024,10889043,4,12,13,15,16,41,22000000,2025-02-28,2,0,16.8
4023,31168235,23,25,28,32,35,43,20700000,2025-02-26,2,0,31.0
4022,18457998,7,34,46,48,49,55,20600000,2025-02-23,1,1,39.8
4021,20496016,9,11,31,42,44,48,20500000,2025-02-21,2,1,30.8
4020,24192222,11,27,32,33,54,55,20400000,2025-02-19,1,3,35.3
4019,5388576,2,11,26,28,33,54,20300000,2025-02-16,2,0,25.7
4018,12607996,5,8,12,29,55,56,20200000,2025-02-14,2,0,27.5
4017,504044,1,3,15,27,41,53,20100000,2025-02-12,3,0,23.3
4016,15142798,6,10,20,24,31,37,20000000,2025-02-09,2,1,21.3
4015,7071567,3,5,17,19,31,48,277300000,2025-02-07,5,0,20.5
4014,18369471,7,28,30,33,39,44,274300000,2025-02-05,1,1,30.2
4013,3854468,2,4,9,17,30,42,272000000,2025-02-02,2,0,17.3
4012,22205913,10,14,23,26,45,55,269000000,2025-01-31,1,0,28.8
4011,2119571,1,11,12,34,39,52,266000000,2025-01-29,1,0,24.8
4010,8940761,3,18,19,32,37,43,264000000,2025-01-26,4,1,25.3
4009,19038257,8,12,19,21,44,53,261000000,2025-01-24,2,1,26.2
4008,16377747,6,25,26,30,44,49,257700000,2025-01-22,0,0,30.0
4007,27244194,15,16,19,27,39,45,255100000,2025-01-19,1,0,26.8
4006,4870824,2,8,21,23,30,54,251800000,2025-01-17,2,1,23.0
4005,7668788,3,8,13,22,25,51,248700000,2025-01-15,2,1,20.3
4004,12451000,5,7,16,17,22,54,247000000,2025-01-12,3,0,20.2
4003,19792586,8,20,27,28,31,37,244000000,2025-01-10,2,2,25.2
4002,12729197,5,8,30,31,35,41,240000000,2025-01-08,3,1,25.0
4001,9260232,3,23,31,39,45,53,237300000,2025-01-05,4,1,32.3
4000,4200030,2,5,16,39,41,50,234500000,2025-01-03,3,2,25.5
3999,19510045,8,16,26,35,39,56,228300000,2025-01-01,0,1,30.0
3998,7739938,3,8,21,22,29,37,228300000,2024-12-29,3,1,20.0
3997,30716273,21,27,33,35,45,48,225700000,2024-12-27,0,0,34.8
