CONCURSO,ID,F1,F2,F3,F4,F5,F6,BOLSA,FECHA,PRIMOS,REPETIDOS,MEDIA
4121,8364648,3,12,20,35,45,46,80200000,2025-10-12,1,3,26.8
4120,7736607,3,8,20,29,35,51,78300000,2025-10-10,2,0,24.3
4119,14308767,5,26,34,42,49,53,76300000,2025-10-08,2,1,34.8
4118,1167323,1,6,9,11,40,53,74700000,2025-10-05,2,0,20.0
4117,30000041,19,26,42,47,50,51,72600000,2025-10-03,2,0,39.2
4116,8766684,3,16,17,27,29,48,70500000,2025-10-01,3,2,23.3
4115,27361837,15,17,25,29,45,47,68900000,2025-09-28,3,0,29.7
4114,9607575,4,5,11,26,35,40,66900000,2025-09-26,2,1,20.2
4113,10896707,4,12,13,27,39,55,64900000,2025-09-24,1,0,25.0
4112,20112524,8,29,38,40,46,51,63300000,2025-09-21,1,0,35.3
4111,6782388,3,4,13,22,35,52,61300000,2025-09-19,2,1,21.5
4110,27672624,15,22,28,39,51,53,59300000,2025-09-17,1,0,34.7
4109,11089071,4,13,21,23,27,31,57700000,2025-09-14,3,1,19.8
4108,19483072,8,16,21,28,36,38,55900000,2025-09-12,0,0,24.5
4107,1027009,1,5,15,35,42,55,53900000,2025-09-10,1,2,25.5
4106,5469876,2,12,17,29,35,55,52300000,2025-09-07,3,0,25.0
4105,16743971,7,8,26,38,40,52,50200000,2025-09-05,1,1,28.5
4104,24730013,12,16,28,38,44,50,48000000,2025-09-03,0,0,31.3
4103,26732828,14,19,21,34,49,52,46500000,2025-08-31,1,0,31.5
4102,17367877,7,12,26,28,46,47,44500000,2025-08-29,2,2,27.7
4101,27817543,15,26,32,35,47,49,42700000,2025-08-27,1,1,34.0
4100,9477516,3,34,35,37,39,40,40700000,2025-08-24,2,0,31.3
4099,3150966,1,21,38,47,50,52,38800000,2025-08-22,1,1,34.8
4098,17069495,7,10,23,28,37,52,37400000,2025-08-20,3,0,26.2
4097,11822003,4,22,33,39,40,54,35700000,2025-08-17,0,0,32.0
4096,19250554,8,14,16,26,34,35,34000000,2025-08-15,0,0,22.2
4095,20908387,9,15,19,21,25,33,32100000,2025-08-13,1,1,20.3
4094,25540040,13,15,17,43,52,55,30500000,2025-08-10,3,0,32.5
4093,16539204,6,33,36,49,53,56,28500000,2025-08-08,1,1,38.8
4092,30741053,21,28,36,37,40,47,26600000,2025-08-06,2,0,34.8
4091,12792709,5,9,13,18,25,39,25100000,2025-08-03,2,0,18.2
4090,3658730,2,3,14,38,41,51,23300000,2025-08-01,3,0,24.8
4089,20299693,9,10,20,35,37,46,21500000,2025-07-30,1,0,26.2
4088,10357053,4,8,24,25,42,43,20100000,2025-07-27,1,1,24.3
4087,2048548,1,10,20,41,42,48,18000000,2025-07-25,1,0,27.0
4086,6606810,2,33,43,47,51,53,16100000,2025-07-23,4,0,38.2
4085,26172626,13,25,26,32,50,55,14600000,2025-07-20,1,0,33.5
4084,23925597,11,20,28,43,49,51,12700000,2025-07-18,2,0,33.7
4083,27074022,14,26,35,46,50,54,10600000,2025-07-16,0,1,37.5
4082,18153996,7,21,35,52,53,56,10400000,2025-07-13,2,0,37.3
4081,19793274,8,20,27,30,31,49,10300000,2025-07-11,1,0,27.5
4080,9881952,4,6,15,19,38,45,10200000,2025-07-09,1,1,21.2
4079,23875006,11,19,32,33,44,46,10100000,2025-07-06,2,2,30.8
4078,1503679,1,7,19,32,40,47,10000000,2025-07-04,3,3,24.3
4077,3032270,1,19,33,34,36,47,139300000,2025-07-02,2,1,28.3
4076,21349892,9,20,37,47,50,52,137800000,2025-06-29,2,0,35.8
4075,2661791,1,15,19,35,36,49,135900000,2025-06-27,1,0,25.8
4074,28974591,17,24,26,31,39,51,133700000,2025-06-25,2,1,31.3
4073,30561493,21,22,36,39,54,55,132200000,2025-06-22,0,0,37.8
4072,31464225,24,29,30,31,47,53,130200000,2025-06-20,4,1,35.7
4071,20968194,9,15,31,40,45,50,128100000,2025-06-18,1,0,31.7
4070,2827366,1,17,18,33,46,49,126300000,2025-06-15,1,1,27.3
4069,30204623,20,22,24,33,48,50,124100000,2025-06-13,0,0,32.8
4068,18364644,7,27,42,44,55,56,122000000,2025-06-11,1,2,38.5
4067,18082386,7,20,27,35,38,48,120500000,2025-06-08,1,2,29.2
4066,912202,1,5,7,23,38,42,118300000,2025-06-06,3,0,19.3
4065,7315425,3,6,18,29,48,53,116000000,2025-06-04,3,0,26.2
4064,12096227,4,37,40,44,49,56,114300000,2025-06-01,1,1,38.3
4063,21584691,9,26,38,40,46,55,112100000,2025-05-30,0,0,35.7
4062,1554604,1,7,30,31,49,54,109700000,2025-05-28,2,0,28.7
4061,22845804,10,23,29,38,41,50,107900000,2025-05-25,3,0,31.8
4060,7241960,3,6,11,36,42,46,106000000,2025-05-23,2,0,24.0
4059,22770804,10,21,35,45,48,53,104000000,2025-05-21,1,2,35.3
4058,5788594,2,14,40,45,49,53,102300000,2025-05-18,2,1,33.8
4057,29668669,18,33,36,40,48,52,100000000,2025-05-16,0,1,37.8
4056,30706308,21,27,29,30,45,48,98000000,2025-05-14,1,1,33.3
4055,12022739,4,29,35,41,52,55,96200000,2025-05-11,2,1,36.0
4054,19019366,8,12,16,46,47,52,94100000,2025-05-09,1,0,30.2
4053,5700594,2,14,17,20,21,33,92000000,2025-05-07,2,1,17.8
4052,32133492,29,33,36,42,44,46,90200000,2025-05-04,1,2,38.3
4051,31358267,23,42,44,47,50,51,88100000,2025-05-02,2,1,42.8
4050,2009715,1,10,16,21,29,50,86000000,2025-04-30,1,0,21.2
4049,26923548,14,22,28,42,52,55,84400000,2025-04-27,0,1,35.5
4048,27094345,14,27,33,39,50,56,82500000,2025-04-25,0,1,36.5
4047,7862198,3,9,14,30,32,43,80500000,2025-04-23,2,0,21.8
4046,256733,1,2,20,40,46,48,79000000,2025-04-20,1,1,26.2
4045,21308451,9,20,23,25,53,54,77000000,2025-04-18,2,1,30.7
4044,11575832,4,18,25,40,41,44,75000000,2025-04-16,1,0,28.7
4043,23272974,11,13,17,23,42,50,73800000,2025-04-13,4,1,26.0
4042,26286510,13,29,37,38,46,51,71800000,2025-04-11,3,1,35.7
4041,989277,1,5,12,25,37,49,69500000,2025-04-09,2,2,21.5
4040,28424724,16,24,37,48,49,53,68000000,2025-04-06,2,0,37.8
4039,22592737,10,18,35,38,39,55,65900000,2025-04-04,0,0,32.5
4038,29740495,19,20,27,31,41,47,63700000,2025-04-02,4,0,30.8
4037,27067661,14,26,32,33,43,48,62000000,2025-03-30,1,2,32.7
4036,13994615,5,19,26,37,43,44,60000000,2025-03-28,4,2,29.0
4035,25250024,12,26,30,33,40,43,58000000,2025-03-26,1,1,30.7
4034,18607701,8,9,21,30,31,32,56500000,2025-03-23,1,0,21.8
4033,17010870,7,10,15,34,37,41,54500000,2025-03-21,3,1,24.0
4032,23521758,11,15,22,23,28,46,52600000,2025-03-19,2,0,24.2
