SORTEO,NUMERO,N1,N2,N3,N4,N5
3837,26039,2,6,0,3,9
3836,21319,2,1,3,1,9
3835,46956,4,6,9,5,6
3834,3526,0,3,5,2,6
3833,37160,3,7,1,6,0
3832,3046,0,3,0,4,6
3831,26402,2,6,4,0,2
3830,8035,0,8,0,3,5
3829,53068,5,3,0,6,8
3828,54100,5,4,1,0,0
3827,59048,5,9,0,4,8
3826,57255,5,7,2,5,5
3825,21974,2,1,9,7,4
3824,48319,4,8,3,1,9
3823,22677,2,2,6,7,7
3822,25181,2,5,1,8,1
3821,20090,2,0,0,9,0
3820,50992,5,0,9,9,2
3819,24441,2,4,4,4,1
3818,50342,5,0,3,4,2
3817,15997,1,5,9,9,7
3816,37532,3,7,5,3,2
3815,7663,0,7,6,6,3
3814,2654,0,2,6,5,4
3813,8738,0,8,7,3,8
3812,7436,0,7,4,3,6
3811,50369,5,0,3,6,9
3810,18119,1,8,1,1,9
3809,52716,5,2,7,1,6
3808,47987,4,7,9,8,7
3807,46698,4,6,6,9,8
3806,55608,5,5,6,0,8
3805,4915,0,4,9,1,5
3804,49645,4,9,6,4,5
3803,11560,1,1,5,6,0
3802,22543,2,2,5,4,3
3801,55671,5,5,6,7,1
3800,28111,2,8,1,1,1
3799,59059,5,9,0,5,9
3798,50613,5,0,6,1,3
3797,34182,3,4,1,8,2
3796,53513,5,3,5,1,3
3795,742,0,0,7,4,2
3794,43678,4,3,6,7,8
3793,20584,2,0,5,8,4
3792,21447,2,1,4,4,7
3791,30838,3,0,8,3,8
3790,55169,5,5,1,6,9
3789,56179,5,6,1,7,9
3788,33499,3,3,4,9,9
3787,53738,5,3,7,3,8
3786,5005,0,5,0,0,5
3785,54367,5,4,3,6,7
3784,27961,2,7,9,6,1
3783,18704,1,8,7,0,4
3782,8637,0,8,6,3,7
3781,10387,1,0,3,8,7
3780,33756,3,3,7,5,6
3779,56558,5,6,5,5,8
3778,10135,1,0,1,3,5
3777,41874,4,1,8,7,4
3776,57856,5,7,8,5,6
3775,33932,3,3,9,3,2
3774,43874,4,3,8,7,4
3773,33487,3,3,4,8,7
3772,49655,4,9,6,5,5
3771,43967,4,3,9,6,7
3770,7509,0,7,5,0,9
3769,13665,1,3,6,6,5
3768,37787,3,7,7,8,7
3767,49168,4,9,1,6,8
3766,41009,4,1,0,0,9
3750,42884,4,2,8,8,4
3749,3634,0,3,6,3,4
3748,29666,2,9,6,6,6
3747,1773,0,1,7,7,3
3746,7871,0,7,8,7,1
3745,11629,1,1,6,2,9
3744,24128,2,4,1,2,8
3743,31719,3,1,7,1,9
3742,22937,2,2,9,3,7
3741,35095,3,5,0,9,5
3740,49394,4,9,3,9,4
3739,33605,3,3,6,0,5
3738,29782,2,9,7,8,2
3737,45427,4,5,4,2,7
3736,37489,3,7,4,8,9
3735,53008,5,3,0,0,8
3734,9928,0,9,9,2,8
3733,9797,0,9,7,9,7
3732,52840,5,2,8,4,0
3731,4342,0,4,3,4,2
3730,21737,2,1,7,3,7
3729,51686,5,1,6,8,6
3728,13242,1,3,2,4,2
3727,56869,5,6,8,6,9
3726,2694,0,2,6,9,5
3725,43024,4,3,0,2,4
3724,3886,0,3,8,8,6
3723,34415,3,4,4,1,5
3722,18426,1,8,4,2,6
3721,51703,5,1,7,0,3
3720,39194,3,9,1,9,4
3719,26078,2,6,0,7,8
3718,41604,4,1,6,0,4
3717,37883,3,7,8,8,3
3716,20632,2,0,6,3,2
3715,2505,0,2,5,0,5
3714,23256,2,3,2,5,6
3713,54496,5,4,4,9,6
3712,59288,5,9,2,8,8
3711,52012,5,2,0,1,2
3710,17710,1,7,7,1,0
3709,34779,3,4,7,7,9
3708,56023,5,6,0,2,3
3707,24475,2,4,4,7,5
3706,47531,4,7,5,3,1
3705,36409,3,6,4,0,9
3704,46773,4,6,7,7,3
3703,1953,0,1,9,5,3
3702,17327,1,7,3,2,7
3701,13862,1,3,8,6,2
3700,51352,5,1,3,5,2
3699,59226,5,9,2,2,6
3698,28842,2,8,8,4,2
3697,48319,4,8,3,1,9
3696,21154,2,1,1,5,4
3695,11279,1,1,2,7,9
3694,46389,4,6,3,8,9
3693,26655,2,6,6,5,5
3692,28390,2,8,3,9,0
3691,39815,3,9,8,1,5
3690,52664,5,2,6,6,4
3689,8696,0,8,6,9,6
3688,3716,0,3,7,1,6
3687,31820,3,1,8,2,0
3686,59411,5,9,4,1,1
3685,58591,5,8,5,9,1
3684,18424,1,8,4,2,4
3683,29203,2,9,2,0,3
3682,18678,1,8,6,7,8
3681,38832,3,8,8,3,2
3680,53796,5,3,7,9,6
3679,30006,3,0,0,0,6
3678,23277,2,3,2,7,7
3677,58051,5,8,0,5,1
3676,11511,1,1,5,1,1
3675,16354,1,6,3,5,4
3674,46231,4,6,2,3,1
3673,22113,2,2,1,1,3
3672,20794,2,0,7,9,4
3671,48131,4,8,1,3,1
3670,4102,0,4,1,0,2
3669,13225,1,3,2,2,5
3668,35777,3,5,7,7,7
3667,25256,2,5,2,5,6
3666,21508,2,1,5,0,8
3665,18996,1,8,9,9,6
3664,54217,5,4,2,1,7
3663,4460,0,4,4,6,0
3662,23632,2,3,6,3,2
3661,48587,4,8,5,8,7
3660,57824,5,7,8,2,4
3659,19645,1,9,6,4,5
3658,13718,1,3,7,1,8
3657,55391,5,5,3,9,1
3656,2617,0,2,6,1,7
3655,54980,5,4,9,8,0
3654,22730,2,2,7,3,0
3653,9740,0,9,7,4,0
3652,41148,4,1,1,4,8
3651,7895,0,7,8,9,5
3650,11619,1,1,6,1,9
3649,3537,0,3,5,3,7
3648,25123,2,5,1,2,3
3647,7488,0,7,4,8,8
3646,54892,5,4,8,9,2
3645,54376,5,4,3,7,6
3644,37153,3,7,1,5,3
3643,31133,3,1,1,3,3
3642,24438,2,4,4,3,8
3641,10953,1,0,9,5,3
3640,28488,2,8,4,8,8
3639,12556,1,2,5,5,6
3638,59308,5,9,3,0,8
3637,41747,4,1,7,4,7
3636,41963,4,1,9,6,3
3635,15505,1,5,5,0,5
3634,11849,1,1,8,4,9
3633,30646,3,0,6,4,6
3632,35873,3,5,8,7,3
3631,9654,0,9,6,5,4
3630,43683,4,3,6,8,3
3629,28523,2,8,5,2,3
3628,32149,3,2,1,4,9
3627,20864,2,0,8,6,4
3626,56797,5,6,7,9,7
3625,54476,5,4,4,7,6
3624,7823,0,7,8,2,3
3623,29483,2,9,4,8,3
3622,58448,5,8,4,4,8
