CONCURSO,R1,R2,R3,R4,R5,FECHA,PRIMOS,REPETIDOS
32845,0,3,1,2,5,2024-08-17,3,1
32844,2,5,1,4,3,2024-08-17,3,1
32843,9,5,8,6,2,2024-08-17,2,0
32842,7,0,7,1,1,2024-08-16,2,2
32841,7,2,3,4,1,2024-08-16,3,0
32840,0,1,1,1,2,2024-08-16,1,0
32839,2,6,9,6,4,2024-08-16,1,0
32838,0,1,4,5,6,2024-08-16,1,0
32837,7,7,3,6,1,2024-08-15,3,0
32836,3,3,2,2,5,2024-08-15,5,0
32835,4,2,6,9,0,2024-08-15,1,2
32834,4,8,6,8,8,2024-08-15,0,2
32833,4,1,5,7,8,2024-08-15,2,0
32832,2,7,0,6,7,2024-08-14,3,0
32831,3,4,3,9,3,2024-08-14,3,1
32830,2,3,3,1,8,2024-08-14,3,0
32829,7,9,6,7,7,2024-08-14,3,0
32828,8,5,9,9,4,2024-08-14,1,2
32827,8,4,6,9,1,2024-08-13,0,1
32826,6,5,9,9,2,2024-08-13,2,0
32825,8,3,3,4,7,2024-08-13,3,0
32824,1,8,5,5,6,2024-08-13,2,0
32823,9,1,2,2,9,2024-08-13,2,1
32822,9,4,6,1,7,2024-08-12,1,0
32821,5,0,9,5,5,2024-08-12,3,0
32820,4,9,2,2,3,2024-08-12,3,1
32819,1,4,6,6,3,2024-08-12,1,1
32818,3,4,0,8,1,2024-08-12,1,1
32817,0,4,8,6,6,2024-08-11,0,1
32816,8,4,3,9,3,2024-08-11,2,0
32815,0,0,5,3,8,2024-08-11,2,1
32814,9,1,0,3,7,2024-08-11,2,0
32813,1,4,5,7,9,2024-08-11,2,0
32812,3,3,6,2,8,2024-08-10,3,0
32811,2,6,0,7,4,2024-08-10,2,1
32810,2,0,9,2,0,2024-08-10,2,0
32809,9,2,4,1,3,2024-08-10,2,1
32808,8,8,0,1,4,2024-08-10,0,1
32807,5,3,5,1,2,2024-08-09,4,1
32806,5,8,1,7,8,2024-08-09,2,0
32805,7,2,8,3,7,2024-08-09,4,1
32804,7,9,4,9,9,2024-08-09,1,0
32803,1,6,5,5,1,2024-08-09,2,0
32802,4,9,8,7,0,2024-08-08,1,0
32801,1,2,7,8,8,2024-08-08,2,1
32800,1,0,0,4,5,2024-08-08,1,0
32799,9,3,2,7,4,2024-08-08,3,1
32798,8,4,6,7,8,2024-08-08,1,0
32797,2,3,5,3,2,2024-08-07,5,2
32796,9,3,5,0,0,2024-08-07,2,0
32795,4,8,2,1,9,2024-08-07,1,0
32794,2,5,9,5,0,2024-08-07,3,0
32793,7,0,8,8,8,2024-08-07,1,0
32792,1,9,2,9,2,2024-08-06,2,0
32791,2,5,0,0,7,2024-08-06,3,0
32790,6,9,5,9,3,2024-08-06,2,0
32789,9,2,0,2,7,2024-08-06,3,0
32788,6,9,1,3,5,2024-08-06,2,0
32787,1,0,4,1,8,2024-08-05,0,1
32786,1,2,9,9,7,2024-08-05,2,0
32785,0,1,4,5,3,2024-08-05,2,1
32784,1,1,3,6,1,2024-08-05,1,1
32783,9,9,4,2,1,2024-08-05,1,0
32782,2,3,1,6,8,2024-08-04,2,0
32781,1,4,7,9,1,2024-08-04,1,0
32780,9,1,4,4,6,2024-08-04,0,0
32779,6,3,8,0,2,2024-08-04,2,1
32778,6,7,3,9,5,2024-08-04,3,0
32777,5,4,1,3,4,2024-08-03,2,0
32776,1,7,9,4,9,2024-08-03,1,0
32775,8,6,8,0,1,2024-08-03,0,1
32774,1,4,3,0,8,2024-08-03,1,2
32773,1,1,6,6,8,2024-08-03,0,3
32772,8,1,6,6,6,2024-08-02,0,0
32771,0,0,4,7,7,2024-08-02,2,0
32770,9,8,6,4,3,2024-08-02,1,0
32769,5,1,3,2,0,2024-08-02,3,2
32768,1,1,9,6,0,2024-08-02,0,3
32767,1,1,6,9,0,2024-08-01,0,1
32766,5,3,1,6,0,2024-08-01,2,0
32765,2,2,2,8,6,2024-08-01,3,0
32764,1,1,9,2,5,2024-08-01,2,0
32763,7,9,3,7,8,2024-08-01,3,1
32762,2,7,6,9,8,2024-07-31,2,1
32761,8,7,5,8,2,2024-07-31,3,0
32760,3,6,1,2,4,2024-07-31,2,1
32759,9,3,9,4,4,2024-07-31,1,1
32758,3,1,6,2,4,2024-07-31,2,0
32757,7,2,9,1,6,2024-07-30,2,0
32756,0,7,3,2,4,2024-07-30,3,0
32755,6,2,2,4,8,2024-07-30,2,1
32754,4,2,0,8,5,2024-07-30,2,0
32753,6,3,9,3,9,2024-07-30,2,0
32752,1,8,5,7,5,2024-07-29,3,0
32751,6,6,3,3,0,2024-07-29,2,2
32750,9,6,3,8,1,2024-07-29,1,0
32749,6,5,8,4,4,2024-07-29,1,0
32748,0,2,6,8,7,2024-07-29,2,0
32747,6,6,0,4,9,2024-07-28,0,2
32746,6,4,0,7,6,2024-07-28,1,1
32745,2,3,1,3,6,2024-07-28,3,1
32744,4,5,0,1,6,2024-07-28,1,1
32743,7,9,2,7,6,2024-07-28,3,0
32742,3,7,3,1,9,2024-07-27,3,0
32741,4,5,4,3,3,2024-07-27,3,1
32740,3,5,2,8,1,2024-07-27,3,1
32739,3,4,8,4,5,2024-07-27,2,0
32738,1,2,0,8,3,2024-07-27,2,0
32737,7,4,7,2,1,2024-07-26,3,1
32736,1,1,1,2,8,2024-07-26,1,0
32735,6,2,3,8,7,2024-07-26,3,0
32734,2,6,6,6,3,2024-07-26,2,2
32733,1,6,5,6,9,2024-07-26,1,1
32732,6,6,2,8,0,2024-07-25,1,0
32731,8,1,8,7,1,2024-07-25,1,0
32730,0,7,0,8,0,2024-07-25,1,0
32729,4,1,1,3,3,2024-07-25,2,0
32728,1,4,8,5,4,2024-07-25,1,0
32727,9,5,2,9,5,2024-07-24,3,1
32726,7,2,4,2,5,2024-07-24,4,0
32725,2,5,0,1,3,2024-07-24,3,0
32724,3,1,6,3,5,2024-07-24,3,0
32723,9,9,9,9,0,2024-07-24,0,1
32722,5,6,9,8,8,2024-07-23,1,0
32721,8,3,0,6,3,2024-07-23,2,1
32720,2,1,8,6,4,2024-07-23,1,1
32719,1,2,8,7,8,2024-07-23,2,0
32718,7,8,2,4,0,2024-07-23,2,0
32717,0,5,1,5,4,2024-07-22,2,1
32716,3,5,6,6,7,2024-07-22,3,0
32715,8,0,1,8,2,2024-07-22,1,1
32714,4,0,4,2,7,2024-07-22,2,1
32713,6,0,7,8,9,2024-07-22,1,0
