NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,FECHA,PRIMOS
60,26390,9,6,5,9,5,2021-02-03,2
60,26389,8,8,7,5,5,2021-02-03,3
60,26388,7,6,1,3,6,2021-02-03,2
60,26387,0,1,1,9,7,2021-02-02,1
60,26386,7,6,0,7,9,2021-02-02,2
60,26385,9,3,2,8,8,2021-02-02,2
60,26384,7,2,5,4,1,2021-02-02,3
60,26383,2,8,1,2,4,2021-02-02,2
60,26382,4,9,3,0,4,2021-02-01,1
60,26381,7,9,6,6,3,2021-02-01,2
60,26380,7,0,3,3,9,2021-02-01,3
60,26379,6,4,1,0,5,2021-02-01,1
60,26378,9,7,7,8,5,2021-02-01,3
60,26377,6,7,1,8,3,2021-01-31,2
60,26376,6,5,9,2,0,2021-01-31,2
60,26375,6,8,9,7,8,2021-01-31,1
60,26374,0,0,2,6,4,2021-01-31,1
60,26373,5,1,3,8,4,2021-01-31,2
60,26372,9,0,4,3,6,2021-01-30,1
60,26371,0,1,3,8,4,2021-01-30,1
60,26370,7,6,7,1,1,2021-01-30,2
60,26369,7,3,6,0,3,2021-01-30,3
60,26368,9,5,1,5,7,2021-01-30,3
60,26367,1,4,9,0,4,2021-01-29,0
60,26366,5,8,8,0,3,2021-01-29,2
60,26365,7,6,7,1,0,2021-01-29,2
60,26364,8,7,5,1,6,2021-01-29,2
60,26363,8,4,9,1,2,2021-01-29,1
60,26362,3,5,9,5,2,2021-01-28,4
60,26361,3,8,5,9,3,2021-01-28,3
60,26360,1,4,1,7,6,2021-01-28,1
60,26359,1,1,1,3,4,2021-01-28,1
60,26358,1,5,0,3,7,2021-01-28,3
60,26357,9,2,3,0,7,2021-01-27,3
60,26356,8,6,4,8,7,2021-01-27,1
60,26355,7,4,7,9,9,2021-01-27,2
60,26354,8,8,5,7,3,2021-01-27,3
60,26353,6,0,8,7,1,2021-01-27,1
60,26352,1,9,2,4,1,2021-01-26,1
60,26351,7,9,7,8,1,2021-01-26,2
60,26350,2,7,0,1,9,2021-01-26,2
60,26349,3,1,5,1,2,2021-01-26,3
60,26348,9,0,4,1,7,2021-01-26,1
60,26347,5,3,0,9,9,2021-01-25,2
60,26346,4,8,6,6,5,2021-01-25,1
60,26345,1,9,2,4,1,2021-01-25,1
60,26344,5,5,9,1,0,2021-01-25,2
60,26343,9,8,4,7,5,2021-01-25,2
60,26342,0,9,1,7,2,2021-01-24,2
60,26341,3,7,8,9,9,2021-01-24,2
60,26340,6,7,0,2,1,2021-01-24,2
60,26339,9,4,1,5,7,2021-01-24,2
